time,lattitude,longtitude,connection_strength_data,provider,satellite_slot,alignment_angle_deg,backhaul_bandwidth_mbps,phase_error_deg
2024-08-13T02:19:30,13.752059,144.801538,72.021,UQ Mobile,170E,7.135,279.426,-5.849
2024-08-13T02:21:00,13.752742,144.799849,71.802,Orbital Mobile,174E,8.004,275.049,-5.673
2024-08-13T02:22:30,13.751271,144.801004,71.914,UQ Mobile,178E,7.575,277.276,-6.174
2024-08-13T02:24:00,13.75025,144.79927,71.332,SkyReach,167E,10.155,265.637,-6.283
2024-08-13T02:25:30,13.748089,144.796038,72.123,SkyReach,170E,7.752,281.462,-6.37
2024-08-13T02:27:00,13.748493,144.79883,71.468,UQ Mobile,174E,8.914,268.361,-5.925
2024-08-13T02:28:30,13.748435,144.796367,71.594,SkyReach,178E,10.122,270.888,-6.705
2024-08-13T02:30:00,13.751678,144.792363,71.313,Orbital Mobile,167E,9.823,265.25,-5.921
2024-08-13T02:31:30,13.752176,144.793308,71.567,UQ Mobile,170E,8.698,270.343,-6.103
2024-08-13T02:33:00,13.751606,144.792332,71.301,Orbital Mobile,174E,9.765,265.017,-6.69
2024-08-13T02:34:30,13.751892,144.791953,72.009,UQ Mobile,178E,7.814,279.189,-6.75
2024-08-13T02:36:00,13.746943,144.792087,71.568,SkyReach,167E,9.64,270.366,-7.092
2024-08-13T02:37:30,13.751213,144.78821,71.758,Orbital Mobile,170E,8.701,274.153,-6.554
2024-08-13T02:39:00,13.750665,144.791459,71.535,Orbital Mobile,174E,8.498,269.709,-6.963
2024-08-13T02:40:30,13.749811,144.788581,71.754,UQ Mobile,178E,7.952,274.083,-7.43
2024-08-13T02:42:00,13.750588,144.789059,71.403,SkyReach,167E,10.68,267.051,-7.643
2024-08-13T02:43:30,13.74646,144.790653,71.988,UQ Mobile,170E,8.13,278.755,-7.018
2024-08-13T02:45:00,13.748678,144.785792,71.76,SkyReach,174E,8.39,274.201,-7.127
2024-08-13T02:46:30,13.748412,144.788598,71.401,Orbital Mobile,178E,10.512,267.013,-7.058
2024-08-13T02:48:00,13.746951,144.784698,71.501,Orbital Mobile,167E,9.661,269.022,-7.176
2024-08-13T02:49:30,13.748826,144.784979,71.5,SkyReach,170E,9.988,269.006,-7.322
2024-08-13T02:51:00,13.746188,144.785822,71.468,Orbital Mobile,174E,10.679,268.357,-7.978
2024-08-13T02:52:30,13.745496,144.780995,71.354,SkyReach,178E,9.806,266.086,-7.476
2024-08-13T02:54:00,13.746841,144.780698,71.476,UQ Mobile,167E,9.879,268.521,-7.391
2024-08-13T02:55:30,13.747325,144.780683,71.068,SkyReach,170E,10.945,260.363,-7.524
2024-08-13T02:57:00,13.746233,144.780718,71.698,Orbital Mobile,174E,9.234,272.968,-7.869
2024-08-13T02:58:30,13.743714,144.779096,71.069,Orbital Mobile,178E,11.084,260.38,-7.409
2024-08-13T03:00:00,13.745883,144.777118,71.31,Orbital Mobile,167E,10.684,265.192,-7.744
2024-08-13T03:01:30,13.744852,144.779001,71.575,UQ Mobile,170E,9.755,270.501,-8.034
2024-08-13T03:03:00,13.744439,144.776753,71.692,Orbital Mobile,174E,9.347,272.845,-7.868
2024-08-13T03:04:30,13.745552,144.775017,71.525,SkyReach,178E,8.751,269.509,-7.73
2024-08-13T03:06:00,13.74359,144.779052,71.332,Orbital Mobile,167E,9.815,265.641,-7.876
2024-08-13T03:07:30,13.74347,144.774981,70.881,Orbital Mobile,170E,11.392,256.61,-8.452
2024-08-13T03:09:00,13.745681,144.772149,71.084,SkyReach,174E,10.584,260.68,-8.386
2024-08-13T03:10:30,13.743519,144.776535,71.098,SkyReach,178E,10.501,260.97,-8.444
2024-08-13T03:12:00,13.74388,144.77075,71.587,UQ Mobile,167E,10.017,270.74,-8.246
2024-08-13T03:13:30,13.74017,144.773104,71.313,UQ Mobile,170E,10.669,265.268,-7.69
2024-08-13T03:15:00,13.743167,144.77095,71.048,UQ Mobile,174E,10.563,259.951,-8.283
2024-08-13T03:16:30,13.738177,144.772194,71.391,SkyReach,178E,10.719,266.824,-7.821
2024-08-13T03:18:00,13.738853,144.77149,71.528,SkyReach,167E,9.198,269.56,-8.34
2024-08-13T03:19:30,13.73917,144.767546,71.229,SkyReach,170E,9.774,263.577,-7.78
2024-08-13T03:21:00,13.74231,144.772032,71.232,Orbital Mobile,174E,10.769,263.645,-8.07
2024-08-13T03:22:30,13.73666,144.765683,71.619,SkyReach,178E,9.44,271.377,-7.519
2024-08-13T03:24:00,13.736136,144.76982,70.967,Orbital Mobile,167E,11.458,258.338,-8.16
2024-08-13T03:25:30,13.734993,144.77019,71.128,SkyReach,170E,11.007,261.566,-7.368
2024-08-13T03:27:00,13.734597,144.767897,71.586,Orbital Mobile,174E,10.236,270.714,-7.935
2024-08-13T03:28:30,13.737677,144.765269,71.405,UQ Mobile,178E,10.717,267.097,-8.026
2024-08-13T03:30:00,13.7344,144.766017,70.783,UQ Mobile,167E,11.474,254.653,-7.511
2024-08-13T03:31:30,13.732746,144.765872,71.676,SkyReach,170E,9.943,272.517,-7.184
2024-08-13T03:33:00,13.733993,144.763721,71.472,SkyReach,174E,9.784,268.439,-7.371
2024-08-13T03:34:30,13.734114,144.765685,71.796,UQ Mobile,178E,9.378,274.927,-7.634
2024-08-13T03:36:00,13.735273,144.764806,71.331,Orbital Mobile,167E,9.789,265.623,-7.205
2024-08-13T03:37:30,13.734066,144.764977,71.025,SkyReach,170E,10.734,259.492,-6.922
2024-08-13T03:39:00,13.73313,144.760993,71.586,SkyReach,174E,9.087,270.714,-6.95
2024-08-13T03:40:30,13.731172,144.759387,71.673,UQ Mobile,178E,9.383,272.463,-7.268
2024-08-13T03:42:00,13.731187,144.761731,71.643,SkyReach,167E,9.845,271.856,-6.411
2024-08-13T03:43:30,13.729488,144.761696,71.309,UQ Mobile,170E,11.216,265.178,-6.727
2024-08-13T03:45:00,13.728859,144.761717,71.859,UQ Mobile,174E,8.643,276.177,-7.055
2024-08-13T03:46:30,13.728872,144.759726,71.166,UQ Mobile,178E,11.064,262.33,-6.461
2024-08-13T03:48:00,13.730637,144.757408,71.839,SkyReach,167E,8.447,275.783,-6.758
2024-08-13T03:49:30,13.729623,144.756522,71.727,UQ Mobile,170E,8.449,273.536,-6.385
2024-08-13T03:51:00,13.725794,144.755756,71.566,SkyReach,174E,9.038,270.319,-5.628
2024-08-13T03:52:30,13.726298,144.758688,71.645,UQ Mobile,178E,9.944,271.908,-6.193
2024-08-13T03:54:00,13.723646,144.759,71.122,UQ Mobile,167E,11.109,261.446,-6.137
2024-08-13T03:55:30,13.724845,144.758194,71.811,UQ Mobile,170E,9.287,275.218,-5.542
2024-08-13T03:57:00,13.725526,144.754495,71.551,SkyReach,174E,8.811,270.025,-5.595
2024-08-13T03:58:30,13.72377,144.755624,71.253,SkyReach,178E,10.391,264.054,-5.59
2024-08-13T04:00:00,13.724895,144.752748,71.615,UQ Mobile,167E,9.394,271.305,-5.243
2024-08-13T04:01:30,13.724317,144.756756,71.932,SkyReach,170E,8.656,277.646,-4.961
2024-08-13T04:03:00,13.719845,144.757188,71.028,UQ Mobile,174E,10.663,259.56,-4.7
2024-08-13T04:04:30,13.719469,144.754924,71.797,Orbital Mobile,178E,8.107,274.941,-5.016
2024-08-13T04:06:00,13.718339,144.752946,71.349,UQ Mobile,167E,9.445,265.981,-4.32
2024-08-13T04:07:30,13.718976,144.756551,71.874,Orbital Mobile,170E,8.525,276.488,-4.379
2024-08-13T04:09:00,13.718104,144.754341,71.858,SkyReach,174E,8.697,276.152,-4.496
2024-08-13T04:10:30,13.719748,144.75024,71.359,Orbital Mobile,178E,10.395,266.187,-4.234
2024-08-13T04:12:00,13.718827,144.750302,72.032,UQ Mobile,167E,7.684,279.633,-3.601
2024-08-13T04:13:30,13.717785,144.75321,71.675,UQ Mobile,170E,9.11,272.502,-4.104
2024-08-13T04:15:00,13.716347,144.749876,71.964,SkyReach,174E,7.8,278.28,-3.325
2024-08-13T04:16:30,13.711992,144.753166,71.829,SkyReach,178E,7.654,275.573,-3.773
2024-08-13T04:18:00,13.711679,144.750611,71.775,SkyReach,167E,8.009,274.492,-2.896
2024-08-13T04:19:30,13.7152,144.753973,71.624,SkyReach,170E,9.847,271.473,-2.839
2024-08-13T04:21:00,13.713643,144.74885,71.6,Orbital Mobile,174E,9.061,270.991,-3.326
2024-08-13T04:22:30,13.710179,144.750328,72.019,Orbital Mobile,178E,8.3,279.372,-2.494
2024-08-13T04:24:00,13.711613,144.750957,71.455,UQ Mobile,167E,9.745,268.108,-2.062
2024-08-13T04:25:30,13.709849,144.749378,71.448,SkyReach,170E,9.402,267.965,-2.333
2024-08-13T04:27:00,13.70913,144.751742,72.022,SkyReach,174E,7.407,279.432,-1.714
2024-08-13T04:28:30,13.705365,144.749263,71.827,Orbital Mobile,178E,8.756,275.535,-2.196
2024-08-13T04:30:00,13.704868,144.74818,71.698,UQ Mobile,167E,8.745,272.962,-1.984
2024-08-13T04:31:30,13.708703,144.75089,71.795,SkyReach,170E,7.755,274.892,-1.945
2024-08-13T04:33:00,13.705112,144.748972,72.151,Orbital Mobile,174E,7.187,282.011,-1.587
2024-08-13T04:34:30,13.702972,144.748175,71.744,SkyReach,178E,8.21,273.88,-0.67
2024-08-13T04:36:00,13.705485,144.749227,71.601,SkyReach,167E,8.377,271.016,-0.972
2024-08-13T04:37:30,13.702042,144.747842,72.338,SkyReach,170E,6.848,285.75,-0.532
2024-08-13T04:39:00,13.702638,144.751946,71.869,SkyReach,174E,8.905,276.378,-0.112
2024-08-13T04:40:30,13.700179,144.7518,72.031,SkyReach,178E,6.585,279.613,0.147
2024-08-13T04:42:00,13.697792,144.749783,72.412,UQ Mobile,167E,6.35,287.247,0.105
2024-08-13T04:43:30,13.697765,144.747657,72.219,UQ Mobile,170E,6.726,283.382,-0.02
2024-08-13T04:45:00,13.696012,144.747891,71.878,SkyReach,174E,7.012,276.551,-0.045
2024-08-13T04:46:30,13.700659,144.747909,72.252,UQ Mobile,178E,6.556,284.042,0.791
2024-08-13T04:48:00,13.69608,144.748235,71.901,SkyReach,167E,7.791,277.018,1.009
2024-08-13T04:49:30,13.697012,144.751457,72.189,SkyReach,170E,6.261,282.784,1.338
2024-08-13T04:51:00,13.693507,144.751168,71.584,UQ Mobile,174E,8.41,270.672,1.372
2024-08-13T04:52:30,13.693261,144.751374,72.343,UQ Mobile,178E,5.892,285.86,1.769
2024-08-13T04:54:00,13.692064,144.748408,72.0,Orbital Mobile,167E,8.04,278.997,1.799
2024-08-13T04:55:30,13.695373,144.748079,71.935,SkyReach,170E,8.487,277.704,1.794
2024-08-13T04:57:00,13.689567,144.749042,72.316,Orbital Mobile,174E,5.969,285.327,1.665
2024-08-13T04:58:30,13.689347,144.75233,72.345,Orbital Mobile,178E,6.668,285.902,1.871
2024-08-13T05:00:00,13.688016,144.752342,72.114,SkyReach,167E,7.451,281.271,2.208
2024-08-13T05:01:30,13.691113,144.750652,71.815,SkyReach,170E,7.331,275.294,2.777
2024-08-13T05:03:00,13.691283,144.753808,72.497,SkyReach,174E,5.618,288.947,3.004
2024-08-13T05:04:30,13.685215,144.750546,72.219,SkyReach,178E,6.917,283.388,3.288
2024-08-13T05:06:00,13.689365,144.751406,72.151,UQ Mobile,167E,5.684,282.015,3.491
2024-08-13T05:07:30,13.688612,144.748904,71.768,SkyReach,170E,7.688,274.365,3.493
2024-08-13T05:09:00,13.687198,144.749642,72.187,UQ Mobile,174E,7.526,282.731,3.673
2024-08-13T05:10:30,13.684997,144.755009,72.173,SkyReach,178E,7.196,282.464,3.844
2024-08-13T05:12:00,13.681622,144.751329,72.282,SkyReach,167E,4.599,284.644,3.34
2024-08-13T05:13:30,13.68075,144.749957,72.387,SkyReach,170E,4.649,286.744,3.714
2024-08-13T05:15:00,13.681021,144.755667,72.207,SkyReach,174E,5.439,283.148,3.853
2024-08-13T05:16:30,13.680505,144.750592,72.376,Orbital Mobile,178E,4.243,286.526,4.317
2024-08-13T05:18:00,13.683708,144.754377,72.34,Orbital Mobile,167E,4.542,285.807,4.413
2024-08-13T05:19:30,13.679956,144.751669,72.376,SkyReach,170E,4.877,286.53,4.307
2024-08-13T05:21:00,13.678783,144.753138,72.468,UQ Mobile,174E,4.194,288.366,4.792
2024-08-13T05:22:30,13.67794,144.755776,72.418,Orbital Mobile,178E,4.401,287.354,4.744
2024-08-13T05:24:00,13.678677,144.752752,72.338,UQ Mobile,167E,5.558,285.765,4.634
2024-08-13T05:25:30,13.678106,144.755953,72.463,UQ Mobile,170E,4.313,288.26,5.237
2024-08-13T05:27:00,13.676203,144.754244,66.154,Orbital Mobile,174E,3.792,294.548,5.511
2024-08-13T05:28:30,13.678264,144.757579,72.299,SkyReach,178E,4.584,284.989,5.988
2024-08-13T05:30:00,13.677357,144.756561,72.39,Orbital Mobile,167E,4.594,286.804,5.618
2024-08-13T05:31:30,13.674023,144.760098,72.192,UQ Mobile,170E,5.166,282.842,5.839
2024-08-13T05:33:00,13.673626,144.756816,72.453,Orbital Mobile,174E,5.75,288.066,6.006
2024-08-13T05:34:30,13.673912,144.757371,64.735,Orbital Mobile,178E,3.359,292.194,6.068
2024-08-13T05:36:00,13.673638,144.757202,66.674,UQ Mobile,167E,3.967,294.493,6.601
2024-08-13T05:37:30,13.67084,144.757516,72.326,UQ Mobile,170E,5.114,285.52,6.674
2024-08-13T05:39:00,13.672998,144.756533,63.816,SkyReach,174E,3.101,289.229,5.974
2024-08-13T05:40:30,13.670124,144.757795,72.436,UQ Mobile,178E,4.871,287.728,7.032
2024-08-13T05:42:00,13.668716,144.762735,61.915,UQ Mobile,167E,2.475,288.827,6.461
2024-08-13T05:43:30,13.671362,144.759756,63.706,UQ Mobile,170E,3.041,290.676,6.511
2024-08-13T05:45:00,13.665304,144.760531,61.38,UQ Mobile,174E,2.201,294.554,7.373
2024-08-13T05:46:30,13.667041,144.761611,72.336,Orbital Mobile,178E,4.041,285.712,6.771
2024-08-13T05:48:00,13.666517,144.760056,61.742,UQ Mobile,167E,2.285,296.756,6.821
2024-08-13T05:49:30,13.669188,144.760195,72.652,Orbital Mobile,170E,4.158,292.044,7.408
2024-08-13T05:51:00,13.668219,144.761173,58.858,UQ Mobile,174E,1.43,290.345,6.806
2024-08-13T05:52:30,13.667843,144.766812,62.433,SkyReach,178E,2.61,291.076,7.291
2024-08-13T05:54:00,13.661886,144.765949,62.719,SkyReach,167E,2.754,288.159,7.299
2024-08-13T05:55:30,13.661163,144.765741,58.081,SkyReach,170E,1.023,299.246,7.035
2024-08-13T05:57:00,13.662143,144.766441,59.753,Orbital Mobile,174E,1.725,290.552,7.622
2024-08-13T05:58:30,13.662963,144.767249,64.012,SkyReach,178E,3.199,287.304,7.473
2024-08-13T06:00:00,13.662513,144.769418,64.602,Orbital Mobile,167E,3.35,290.043,7.233
2024-08-13T06:01:30,13.660052,144.77008,64.867,UQ Mobile,170E,3.347,295.489,8.148
2024-08-13T06:03:00,13.663328,144.766228,58.643,UQ Mobile,174E,1.335,291.784,8.019
2024-08-13T06:04:30,13.658471,144.766784,56.115,Orbital Mobile,178E,0.451,294.217,7.404
2024-08-13T06:06:00,13.658149,144.769523,63.069,SkyReach,167E,2.815,291.488,8.064
2024-08-13T06:07:30,13.661105,144.770956,55.064,SkyReach,170E,0.137,292.053,7.471
2024-08-13T06:09:00,13.659854,144.771632,54.611,SkyReach,174E,-0.014,290.379,8.283
2024-08-13T06:10:30,13.658641,144.769456,61.833,Orbital Mobile,178E,2.414,290.852,7.572
2024-08-13T06:12:00,13.658882,144.771036,56.238,UQ Mobile,167E,0.407,299.318,8.409
2024-08-13T06:13:30,13.659298,144.774654,61.297,Orbital Mobile,170E,2.14,296.557,8.293
2024-08-13T06:15:00,13.660221,144.771101,60.868,UQ Mobile,174E,2.072,292.04,7.589
2024-08-13T06:16:30,13.65965,144.775003,57.371,Orbital Mobile,178E,0.838,296.161,8.239
2024-08-13T06:18:00,13.653535,144.776022,55.784,UQ Mobile,167E,0.375,292.171,8.34
2024-08-13T06:19:30,13.658559,144.777663,54.748,SkyReach,170E,-0.004,293.72,7.768
2024-08-13T06:21:00,13.652743,144.777582,55.733,Orbital Mobile,174E,0.32,294.432,7.667
2024-08-13T06:22:30,13.656368,144.777329,55.663,Orbital Mobile,178E,0.271,296.018,7.975
2024-08-13T06:24:00,13.651983,144.778392,56.63,SkyReach,167E,-0.554,298.338,7.907
2024-08-13T06:25:30,13.654217,144.781429,56.115,SkyReach,170E,-0.41,296.699,7.596
2024-08-13T06:27:00,13.654833,144.781657,57.475,SkyReach,174E,-0.976,289.927,8.131
2024-08-13T06:28:30,13.65319,144.778013,57.614,UQ Mobile,178E,-0.964,293.419,8.218
2024-08-13T06:30:00,13.656285,144.783632,56.118,SkyReach,167E,0.477,292.77,7.77
2024-08-13T06:31:30,13.655267,144.780683,57.48,UQ Mobile,170E,-0.951,291.564,8.153
2024-08-13T06:33:00,13.653694,144.785844,55.808,Orbital Mobile,174E,-0.409,290.635,8.131
2024-08-13T06:34:30,13.64989,144.786814,56.545,UQ Mobile,178E,-0.58,295.116,7.227
2024-08-13T06:36:00,13.651467,144.782652,55.605,UQ Mobile,167E,0.196,299.316,7.401
2024-08-13T06:37:30,13.651334,144.783723,54.653,Orbital Mobile,170E,0.01,291.483,7.47
2024-08-13T06:39:00,13.65359,144.785252,59.67,Orbital Mobile,174E,-1.604,296.127,7.195
2024-08-13T06:40:30,13.651323,144.78618,60.749,Orbital Mobile,178E,-1.955,296.668,7.447
2024-08-13T06:42:00,13.652342,144.789645,56.987,SkyReach,167E,-0.653,299.557,7.121
2024-08-13T06:43:30,13.651228,144.78603,57.241,Orbital Mobile,170E,-0.854,292.596,7.356
2024-08-13T06:45:00,13.648482,144.786958,64.218,Orbital Mobile,174E,-3.225,289.844,6.742
2024-08-13T06:46:30,13.648551,144.789956,64.39,SkyReach,178E,-3.308,288.328,6.57
2024-08-13T06:48:00,13.653597,144.792817,61.412,UQ Mobile,167E,-2.305,288.968,6.924
2024-08-13T06:49:30,13.651355,144.789767,62.973,Orbital Mobile,170E,-2.711,295.814,7.037
2024-08-13T06:51:00,13.6498,144.793242,63.954,UQ Mobile,174E,-3.118,291.028,7.171
2024-08-13T06:52:30,13.64913,144.796344,62.597,SkyReach,178E,-2.696,289.194,6.793
2024-08-13T06:54:00,13.652974,144.79418,63.291,SkyReach,167E,-2.8,296.82,6.201
