time,lattitude,longtitude,connection_strength_data,provider,panel_orientation_deg,sun_altitude_deg,shadow_blockage_ratio,terrain_elevation_m
2024-09-21T06:15:00,36.410107,138.280025,90.163,UQ Mobile,90,54.925,0.0,2002.22
2024-09-21T06:18:00,36.408857,138.284114,87.768,UQ Mobile,18,54.892,0.0,2126.55
2024-09-21T06:21:00,36.414954,138.283379,89.124,Alpine Mobile,18,54.853,0.0,2412.11
2024-09-21T06:24:00,36.409649,138.280285,86.429,Summit LTE,90,54.808,0.0,2312.04
2024-09-21T06:27:00,36.410713,138.276815,86.204,Summit LTE,18,54.757,0.0,2180.72
2024-09-21T06:30:00,36.412693,138.277336,89.706,UQ Mobile,36,54.701,0.0,1867.82
2024-09-21T06:33:00,36.410817,138.274115,87.09,Summit LTE,72,54.638,0.0,2577.17
2024-09-21T06:36:00,36.415442,138.27533,89.609,UQ Mobile,18,54.569,0.0,2425.91
2024-09-21T06:39:00,36.417277,138.280825,88.285,Alpine Mobile,90,54.494,0.0,2113.86
2024-09-21T06:42:00,36.411918,138.280537,87.022,Alpine Mobile,18,54.414,0.0,1235.23
2024-09-21T06:45:00,36.412427,138.274951,89.498,UQ Mobile,90,54.327,0.0,2120.99
2024-09-21T06:48:00,36.416745,138.280193,86.964,Summit LTE,72,54.235,0.0,1400.17
2024-09-21T06:51:00,36.411603,138.275421,86.163,Alpine Mobile,18,54.137,0.0,2148.03
2024-09-21T06:54:00,36.411262,138.282289,86.176,UQ Mobile,90,54.033,0.0,2042.89
2024-09-21T06:57:00,36.417821,138.277386,86.093,Summit LTE,36,53.923,0.0,2154.97
2024-09-21T07:00:00,36.418432,138.2816,88.074,Summit LTE,90,53.807,0.0,1731.29
2024-09-21T07:03:00,36.414548,138.282251,89.674,Summit LTE,36,53.686,0.0,1499.45
2024-09-21T07:06:00,36.419391,138.273382,87.39,Alpine Mobile,72,53.559,0.0,1595.85
2024-09-21T07:09:00,36.412428,138.276098,86.101,Summit LTE,36,53.426,0.0,2011.14
2024-09-21T07:12:00,36.419187,138.279147,86.383,UQ Mobile,36,53.287,0.0,1631.02
2024-09-21T07:15:00,36.417361,138.279288,88.905,UQ Mobile,72,53.143,0.0,2434.17
2024-09-21T07:18:00,36.414816,138.277236,85.5,Summit LTE,72,52.992,0.0,2380.03
2024-09-21T07:21:00,36.419094,138.282239,88.35,UQ Mobile,72,52.837,0.0,1433.78
2024-09-21T07:24:00,36.415565,138.273357,88.51,Alpine Mobile,36,52.675,0.0,1535.85
2024-09-21T07:27:00,36.421605,138.276341,88.294,Alpine Mobile,18,52.508,0.0,1797.65
2024-09-21T07:30:00,36.416821,138.276785,88.011,Alpine Mobile,72,52.336,0.0,2187.14
2024-09-21T07:33:00,36.423191,138.281606,85.92,Summit LTE,90,52.158,0.0,1257.39
2024-09-21T07:36:00,36.423675,138.282057,88.821,Alpine Mobile,18,51.974,0.0,1502.24
2024-09-21T07:39:00,36.415964,138.278412,86.261,Alpine Mobile,90,51.785,0.0,2415.97
2024-09-21T07:42:00,36.422366,138.274839,87.891,UQ Mobile,18,51.59,0.0,1435.07
2024-09-21T07:45:00,36.419443,138.279045,88.393,Summit LTE,18,51.391,0.0,2039.33
2024-09-21T07:48:00,36.42194,138.274817,88.766,UQ Mobile,72,51.185,0.0,2228.54
2024-09-21T07:51:00,36.421432,138.279602,84.879,Summit LTE,18,50.975,0.0,2239.36
2024-09-21T07:54:00,36.427369,138.273699,84.659,Summit LTE,72,50.759,0.0,1725.41
2024-09-21T07:57:00,36.422142,138.280285,85.932,Summit LTE,90,50.537,0.0,2620.77
2024-09-21T08:00:00,36.424391,138.281196,88.287,Summit LTE,72,50.311,0.0,1496.81
2024-09-21T08:03:00,36.42629,138.271867,87.237,UQ Mobile,72,50.079,0.0,2043.25
2024-09-21T08:06:00,36.428349,138.278174,85.626,Summit LTE,18,49.842,0.0,1906.32
2024-09-21T08:09:00,36.423884,138.274624,85.225,UQ Mobile,36,49.6,0.0,1400.4
2024-09-21T08:12:00,36.424086,138.278908,86.416,Alpine Mobile,18,49.353,0.0,2495.64
2024-09-21T08:15:00,36.424229,138.27484,87.214,Summit LTE,36,49.101,0.0,1371.67
2024-09-21T08:18:00,36.421801,138.277034,85.433,Summit LTE,72,48.844,0.0,1979.45
2024-09-21T08:21:00,36.429073,138.279092,85.049,Summit LTE,72,48.582,0.0,1681.33
2024-09-21T08:24:00,36.430263,138.277727,86.061,Alpine Mobile,36,48.316,0.0,1633.93
2024-09-21T08:27:00,36.425565,138.270488,86.452,Summit LTE,90,48.044,0.0,1450.31
2024-09-21T08:30:00,36.429089,138.27337,83.595,UQ Mobile,36,47.767,0.0,1627.28
2024-09-21T08:33:00,36.428684,138.278167,85.398,Summit LTE,18,47.486,0.0,1964.3
2024-09-21T08:36:00,36.432498,138.27918,84.7,UQ Mobile,36,47.2,0.0,1638.23
2024-09-21T08:39:00,36.428737,138.278958,83.951,Alpine Mobile,36,46.909,0.0,1673.24
2024-09-21T08:42:00,36.428907,138.272821,85.217,Alpine Mobile,18,46.614,0.0,1825.67
2024-09-21T08:45:00,36.430469,138.275859,83.597,Summit LTE,72,46.314,0.0,1895.12
2024-09-21T08:48:00,36.430787,138.269941,83.339,Alpine Mobile,72,46.01,0.0,2599.04
2024-09-21T08:51:00,36.428138,138.26966,83.173,Summit LTE,72,45.701,0.0,1164.45
2024-09-21T08:54:00,36.429587,138.269266,84.164,Alpine Mobile,90,45.388,0.0,1937.08
2024-09-21T08:57:00,36.429565,138.270311,86.307,UQ Mobile,36,45.071,0.0,2288.3
2024-09-21T09:00:00,36.427645,138.271789,85.774,UQ Mobile,72,44.749,0.0,2016.85
2024-09-21T09:03:00,36.432857,138.275273,83.235,UQ Mobile,18,44.423,0.0,1735.25
2024-09-21T09:06:00,36.429234,138.268837,83.547,UQ Mobile,90,44.092,0.0,2510.06
2024-09-21T09:09:00,36.435123,138.270243,83.575,Summit LTE,72,43.758,0.0,1167.52
2024-09-21T09:12:00,36.431568,138.272239,81.805,Alpine Mobile,36,43.42,0.0,2183.68
2024-09-21T09:15:00,36.436507,138.269635,84.486,Alpine Mobile,18,43.077,0.0,1277.9
2024-09-21T09:18:00,36.430498,138.270164,83.704,Alpine Mobile,90,42.731,0.0,2484.87
2024-09-21T09:21:00,36.438348,138.272891,82.82,Alpine Mobile,18,42.38,0.0,1867.97
2024-09-21T09:24:00,36.437734,138.271043,82.208,UQ Mobile,36,42.026,0.0,1729.96
2024-09-21T09:27:00,36.430727,138.272314,83.999,UQ Mobile,36,41.668,0.0,1997.84
2024-09-21T09:30:00,36.436292,138.275985,84.452,Alpine Mobile,72,41.307,0.0,2062.35
2024-09-21T09:33:00,36.433928,138.268158,81.681,Alpine Mobile,90,40.941,0.0,2324.6
2024-09-21T09:36:00,36.433894,138.275854,82.092,Summit LTE,36,40.572,0.0,2060.01
2024-09-21T09:39:00,36.432618,138.275837,82.477,Alpine Mobile,18,40.2,0.0,1926.63
2024-09-21T09:42:00,36.436474,138.272733,82.582,Summit LTE,18,39.824,0.0,2598.71
2024-09-21T09:45:00,36.431621,138.270459,82.769,UQ Mobile,18,39.445,0.0,1739.18
2024-09-21T09:48:00,36.43751,138.267746,83.527,Summit LTE,90,39.062,0.0,1680.63
2024-09-21T09:51:00,36.434821,138.269643,80.957,Summit LTE,90,38.677,0.0,985.65
2024-09-21T09:54:00,36.43708,138.267258,81.134,Alpine Mobile,18,38.287,0.0,1449.32
2024-09-21T09:57:00,36.44123,138.266644,79.864,Alpine Mobile,72,37.895,0.0,2025.52
2024-09-21T10:00:00,36.440297,138.27286,81.942,Alpine Mobile,18,37.5,0.0,1964.85
2024-09-21T10:03:00,36.438307,138.267373,79.796,Summit LTE,72,37.102,0.0,2211.35
2024-09-21T10:06:00,36.43448,138.265643,82.299,Alpine Mobile,18,36.701,0.0,2459.2
2024-09-21T10:09:00,36.434961,138.272897,80.655,Alpine Mobile,18,36.297,0.0,2021.52
2024-09-21T10:12:00,36.436891,138.2687,81.228,Summit LTE,72,35.89,0.0,2434.38
2024-09-21T10:15:00,36.442332,138.270739,81.84,UQ Mobile,90,35.48,0.0,1406.05
2024-09-21T10:18:00,36.440545,138.265608,81.977,Summit LTE,90,35.068,0.0,2041.76
2024-09-21T10:21:00,36.444603,138.265425,81.966,UQ Mobile,18,34.653,0.0,2002.25
2024-09-21T10:24:00,36.439725,138.273355,78.573,Summit LTE,72,34.236,0.0,2183.75
2024-09-21T10:27:00,36.438467,138.265516,81.713,Alpine Mobile,72,33.816,0.0,2522.71
2024-09-21T10:30:00,36.43909,138.27025,78.347,Alpine Mobile,72,33.394,0.0,1038.33
2024-09-21T10:33:00,36.442563,138.26793,81.476,UQ Mobile,72,32.97,0.0,1921.24
2024-09-21T10:36:00,36.444376,138.272554,77.585,Summit LTE,18,32.543,0.0,1526.44
2024-09-21T10:39:00,36.442621,138.268782,80.15,Alpine Mobile,18,32.114,0.0,1443.6
2024-09-21T10:42:00,36.439018,138.262645,78.026,UQ Mobile,36,31.683,0.0,1535.71
2024-09-21T10:45:00,36.443828,138.270486,80.357,UQ Mobile,36,31.25,0.0,2177.14
2024-09-21T10:48:00,36.440384,138.271578,78.482,Alpine Mobile,18,30.816,0.0,1307.13
2024-09-21T10:51:00,36.448987,138.265964,79.636,Summit LTE,72,30.379,0.0,1188.53
2024-09-21T10:54:00,36.443894,138.26677,79.185,Summit LTE,36,29.941,0.0,2442.75
2024-09-21T10:57:00,36.441729,138.270324,77.254,UQ Mobile,36,29.5,0.0,1626.07
2024-09-21T11:00:00,36.44867,138.26242,76.832,UQ Mobile,72,29.059,0.0,1636.97
2024-09-21T11:03:00,36.450186,138.267869,77.951,UQ Mobile,72,28.615,0.0,2288.88
2024-09-21T11:06:00,36.449459,138.260621,77.434,Alpine Mobile,90,28.171,0.0,2072.4
2024-09-21T11:09:00,36.441461,138.264897,76.408,UQ Mobile,36,27.724,0.0,2280.85
2024-09-21T11:12:00,36.444338,138.267199,77.135,UQ Mobile,72,27.277,0.0,2030.48
2024-09-21T11:15:00,36.444187,138.264122,78.846,UQ Mobile,36,26.828,0.0,2159.83
2024-09-21T11:18:00,36.447707,138.265458,77.261,UQ Mobile,36,26.378,0.0,2022.31
2024-09-21T11:21:00,36.448624,138.264468,75.493,Alpine Mobile,18,25.927,0.0,1787.63
2024-09-21T11:24:00,36.447905,138.262347,77.979,UQ Mobile,90,25.475,0.0,2040.62
2024-09-21T11:27:00,36.444039,138.262448,76.592,Alpine Mobile,36,25.022,0.0,1689.54
2024-09-21T11:30:00,36.446254,138.259948,75.871,Alpine Mobile,36,24.568,0.0,1857.06
2024-09-21T11:33:00,36.447508,138.258885,74.318,UQ Mobile,36,24.114,0.0,1409.98
2024-09-21T11:36:00,36.450069,138.263901,75.195,Alpine Mobile,72,23.658,0.0,2312.49
2024-09-21T11:39:00,36.445118,138.2656,75.926,Alpine Mobile,90,23.203,0.0,1006.28
2024-09-21T11:42:00,36.454361,138.262533,75.62,Alpine Mobile,18,22.746,0.0,1677.98
2024-09-21T11:45:00,36.445155,138.258244,76.106,Summit LTE,72,22.289,0.0,1697.14
2024-09-21T11:48:00,36.45487,138.259713,75.565,UQ Mobile,18,21.832,0.0,1139.11
2024-09-21T11:51:00,36.446509,138.265486,73.35,Alpine Mobile,18,21.374,0.0,1903.55
2024-09-21T11:54:00,36.450291,138.257176,74.045,Summit LTE,90,20.916,0.0,2485.05
2024-09-21T11:57:00,36.44826,138.264323,75.113,UQ Mobile,90,20.458,0.0,2094.02
2024-09-21T12:00:00,36.455099,138.259344,74.812,Alpine Mobile,18,20.0,0.0,1655.37
2024-09-21T12:03:00,36.452373,138.261484,74.0,Alpine Mobile,72,19.542,0.0,2183.91
2024-09-21T12:06:00,36.45102,138.26363,72.222,UQ Mobile,18,19.084,0.0,2057.92
2024-09-21T12:09:00,36.448293,138.259773,74.715,Summit LTE,18,18.626,0.0,2129.69
2024-09-21T12:12:00,36.45369,138.258862,74.043,Summit LTE,18,18.168,0.0,1171.76
2024-09-21T12:15:00,36.456634,138.257033,72.561,Alpine Mobile,18,17.711,0.0,1933.28
2024-09-21T12:18:00,36.451968,138.258347,75.185,Summit LTE,90,17.254,0.0,1184.27
2024-09-21T12:21:00,36.453176,138.256183,71.787,Alpine Mobile,90,16.797,0.0,1061.07
2024-09-21T12:24:00,36.449086,138.261041,73.383,UQ Mobile,18,16.342,0.0,1499.33
2024-09-21T12:27:00,36.458749,138.257025,73.555,Summit LTE,90,15.886,0.0,1187.55
2024-09-21T12:30:00,36.456738,138.254511,73.902,Summit LTE,18,15.432,0.0,1878.86
2024-09-21T12:33:00,36.454497,138.254081,70.822,UQ Mobile,36,14.978,0.0,2044.99
2024-09-21T12:36:00,36.4585,138.261195,70.62,Summit LTE,18,14.525,0.0,1427.59
2024-09-21T12:39:00,36.459006,138.256054,73.827,Summit LTE,90,14.073,0.0,1037.49
2024-09-21T12:42:00,36.451857,138.258801,71.393,Alpine Mobile,90,13.622,0.0,1494.99
2024-09-21T12:45:00,36.454942,138.254664,73.142,Alpine Mobile,18,13.172,0.0,2520.46
2024-09-21T12:48:00,36.45753,138.256806,72.658,Alpine Mobile,36,12.723,0.0,1556.45
2024-09-21T12:51:00,36.455006,138.25938,72.353,Summit LTE,90,12.276,0.0,2147.02
2024-09-21T12:54:00,36.456497,138.256819,72.383,UQ Mobile,36,11.829,0.0,1569.29
2024-09-21T12:57:00,36.461925,138.25626,70.083,Alpine Mobile,72,11.385,0.0,2327.55
2024-09-21T13:00:00,36.455729,138.2518,71.668,Alpine Mobile,90,10.941,0.0,1195.25
2024-09-21T13:03:00,36.45359,138.259947,72.425,Summit LTE,36,10.5,0.0,1904.62
2024-09-21T13:06:00,36.462764,138.250259,71.149,UQ Mobile,90,10.059,0.042,1333.73
2024-09-21T13:09:00,36.460923,138.25034,67.256,UQ Mobile,72,9.621,0.084,1239.73
2024-09-21T13:12:00,36.458257,138.251862,68.702,Alpine Mobile,72,9.184,0.125,2075.31
2024-09-21T13:15:00,36.460782,138.252146,65.857,UQ Mobile,36,8.75,0.167,1076.74
2024-09-21T13:18:00,36.458026,138.251446,64.191,Alpine Mobile,90,8.317,0.208,1159.47
2024-09-21T13:21:00,36.4582,138.251196,65.991,UQ Mobile,36,7.886,0.249,1849.26
2024-09-21T13:24:00,36.455727,138.255631,62.748,UQ Mobile,18,7.457,0.29,1376.28
2024-09-21T13:27:00,36.459408,138.25695,63.568,UQ Mobile,90,7.03,0.33,1216.99
2024-09-21T13:30:00,36.460538,138.247851,62.707,Alpine Mobile,18,6.606,0.371,1279.24
2024-09-21T13:33:00,36.461016,138.249518,62.313,UQ Mobile,36,6.184,0.411,2612.95
2024-09-21T13:36:00,36.46305,138.255421,59.614,Alpine Mobile,36,5.764,0.451,1292.87
2024-09-21T13:39:00,36.462668,138.249988,60.791,UQ Mobile,90,5.347,0.491,2080.82
2024-09-21T13:42:00,36.46174,138.253679,60.263,UQ Mobile,90,4.932,0.53,1680.37
2024-09-21T13:45:00,36.463979,138.249899,59.556,Alpine Mobile,36,4.52,0.57,1411.84
2024-09-21T13:48:00,36.460706,138.250768,54.204,UQ Mobile,18,4.11,0.609,2289.89
2024-09-21T13:51:00,36.460255,138.254422,57.053,UQ Mobile,18,3.703,0.647,1555.72
2024-09-21T13:54:00,36.462548,138.245671,55.802,Summit LTE,72,3.299,0.686,1594.42
2024-09-21T13:57:00,36.465729,138.254296,51.75,Summit LTE,90,2.898,0.724,2418.39
2024-09-21T14:00:00,36.461323,138.252683,52.143,Alpine Mobile,90,2.5,0.762,2322.14
2024-09-21T14:03:00,36.461944,138.250615,51.419,Summit LTE,36,2.105,0.8,2393.85
2024-09-21T14:06:00,36.461196,138.24821,53.851,Summit LTE,72,1.713,0.837,1037.7
2024-09-21T14:09:00,36.467062,138.24612,48.985,UQ Mobile,18,1.323,0.874,1804.53
2024-09-21T14:12:00,36.463131,138.243815,48.857,UQ Mobile,72,0.938,0.911,1858.76
2024-09-21T14:15:00,36.465521,138.251593,52.059,Summit LTE,72,0.555,0.947,976.89
2024-09-21T14:18:00,36.463766,138.243984,47.295,Alpine Mobile,36,0.176,0.983,1443.51
2024-09-21T14:21:00,36.462153,138.248835,48.343,Summit LTE,90,-0.2,1.0,1843.14
2024-09-21T14:24:00,36.460939,138.249651,50.331,Summit LTE,72,-0.572,1.0,1639.65
2024-09-21T14:27:00,36.461935,138.242817,49.605,Alpine Mobile,18,-0.941,1.0,1954.11
2024-09-21T14:30:00,36.46544,138.243164,49.569,UQ Mobile,90,-1.307,1.0,1594.57
2024-09-21T14:33:00,36.461494,138.242358,50.95,Summit LTE,90,-1.668,1.0,1351.64
2024-09-21T14:36:00,36.467346,138.248181,46.262,Summit LTE,36,-2.026,1.0,2522.41
2024-09-21T14:39:00,36.469132,138.244585,49.44,Alpine Mobile,72,-2.38,1.0,1398.18
2024-09-21T14:42:00,36.464163,138.242383,49.246,Alpine Mobile,72,-2.731,1.0,1775.96
2024-09-21T14:45:00,36.468575,138.244703,50.416,Summit LTE,18,-3.077,1.0,1226.06
2024-09-21T14:48:00,36.463962,138.243733,48.475,UQ Mobile,18,-3.42,1.0,1874.7
2024-09-21T14:51:00,36.46346,138.244714,47.367,Summit LTE,90,-3.758,1.0,2125.91
2024-09-21T14:54:00,36.467406,138.243168,46.999,UQ Mobile,18,-4.092,1.0,2221.52
2024-09-21T14:57:00,36.465825,138.245402,47.982,UQ Mobile,36,-4.423,1.0,2119.53
2024-09-21T15:00:00,36.462325,138.243572,48.351,Alpine Mobile,36,-4.749,1.0,2042.78
2024-09-21T15:03:00,36.472468,138.240059,47.713,Summit LTE,18,-5.071,1.0,1280.56
2024-09-21T15:06:00,36.465909,138.241723,48.616,Alpine Mobile,18,-5.388,1.0,1996.88
2024-09-21T15:09:00,36.46655,138.244847,46.723,UQ Mobile,72,-5.701,1.0,1994.08
2024-09-21T15:12:00,36.469349,138.240185,47.745,UQ Mobile,90,-6.01,1.0,1910.87
2024-09-21T15:15:00,36.471011,138.236982,47.163,UQ Mobile,72,-6.314,1.0,2461.64
2024-09-21T15:18:00,36.463595,138.238768,49.363,Alpine Mobile,36,-6.614,1.0,1744.87
2024-09-21T15:21:00,36.464243,138.242619,47.689,Summit LTE,72,-6.909,1.0,2407.95
2024-09-21T15:24:00,36.467502,138.2432,48.314,UQ Mobile,72,-7.2,1.0,1680.22
2024-09-21T15:27:00,36.473227,138.237801,45.623,UQ Mobile,36,-7.486,1.0,2434.5
2024-09-21T15:30:00,36.466817,138.24107,48.402,Summit LTE,72,-7.767,1.0,1905.51
2024-09-21T15:33:00,36.46733,138.239353,47.282,Alpine Mobile,72,-8.044,1.0,2609.86
2024-09-21T15:36:00,36.469034,138.241671,48.509,Alpine Mobile,90,-8.316,1.0,1277.64
2024-09-21T15:39:00,36.467473,138.243191,47.691,Summit LTE,72,-8.582,1.0,1945.26
2024-09-21T15:42:00,36.467941,138.236401,45.856,Summit LTE,72,-8.844,1.0,2143.27
2024-09-21T15:45:00,36.465931,138.241102,47.961,Summit LTE,72,-9.101,1.0,2100.42
2024-09-21T15:48:00,36.468164,138.240455,48.182,UQ Mobile,18,-9.353,1.0,2001.01
2024-09-21T15:51:00,36.466784,138.233232,50.117,Summit LTE,90,-9.6,1.0,1697.37
2024-09-21T15:54:00,36.468074,138.234142,47.182,Summit LTE,36,-9.842,1.0,1612.64
2024-09-21T15:57:00,36.467625,138.239153,47.115,Alpine Mobile,36,-10.079,1.0,2218.91
2024-09-21T16:00:00,36.475625,138.24027,47.741,UQ Mobile,90,-10.311,1.0,2111.81
2024-09-21T16:03:00,36.472557,138.235507,49.176,UQ Mobile,36,-10.537,1.0,1323.27
2024-09-21T16:06:00,36.474188,138.23871,48.012,Summit LTE,90,-10.759,1.0,2430.63
2024-09-21T16:09:00,36.474696,138.23787,47.948,UQ Mobile,90,-10.975,1.0,1544.88
2024-09-21T16:12:00,36.474692,138.238256,50.927,Alpine Mobile,36,-11.185,1.0,1247.3
2024-09-21T16:15:00,36.472313,138.230449,46.386,UQ Mobile,18,-11.391,1.0,1810.32
2024-09-21T16:18:00,36.471502,138.231527,46.501,Summit LTE,90,-11.59,1.0,2392.99
2024-09-21T16:21:00,36.473807,138.232048,49.587,UQ Mobile,18,-11.785,1.0,1415.86
2024-09-21T16:24:00,36.473804,138.236627,49.312,Summit LTE,90,-11.974,1.0,976.19
2024-09-21T16:27:00,36.475237,138.230573,47.375,Alpine Mobile,90,-12.158,1.0,2335.11
2024-09-21T16:30:00,36.475713,138.233581,50.303,UQ Mobile,18,-12.336,1.0,1568.22
2024-09-21T16:33:00,36.477553,138.233994,47.759,UQ Mobile,36,-12.508,1.0,1900.34
2024-09-21T16:36:00,36.472312,138.22702,50.102,Alpine Mobile,72,-12.675,1.0,1056.94
2024-09-21T16:39:00,36.476226,138.23197,47.49,Summit LTE,18,-12.837,1.0,2612.72
2024-09-21T16:42:00,36.473616,138.232114,47.151,Summit LTE,90,-12.992,1.0,1988.49
2024-09-21T16:45:00,36.476396,138.23232,49.311,Summit LTE,72,-13.143,1.0,1847.99
2024-09-21T16:48:00,36.474768,138.23507,49.349,UQ Mobile,36,-13.287,1.0,1669.43
2024-09-21T16:51:00,36.474285,138.233204,45.335,Alpine Mobile,18,-13.426,1.0,2621.77
2024-09-21T16:54:00,36.473852,138.229571,48.264,UQ Mobile,72,-13.559,1.0,1752.14
2024-09-21T16:57:00,36.477976,138.224416,50.678,UQ Mobile,72,-13.686,1.0,1196.6
2024-09-21T17:00:00,36.472584,138.233977,44.948,Alpine Mobile,72,-13.807,1.0,2620.09
2024-09-21T17:03:00,36.470152,138.227966,48.07,UQ Mobile,18,-13.923,1.0,1466.35
2024-09-21T17:06:00,36.477794,138.228872,48.84,UQ Mobile,72,-14.033,1.0,999.09
2024-09-21T17:09:00,36.476117,138.23057,49.805,UQ Mobile,36,-14.137,1.0,1837.73
2024-09-21T17:12:00,36.4785,138.223978,49.851,Alpine Mobile,36,-14.235,1.0,1460.35
2024-09-21T17:15:00,36.476449,138.225709,47.883,UQ Mobile,36,-14.327,1.0,1199.65
2024-09-21T17:18:00,36.475525,138.222467,46.797,UQ Mobile,18,-14.414,1.0,1840.7
2024-09-21T17:21:00,36.479442,138.22207,49.42,Summit LTE,36,-14.494,1.0,1862.96
2024-09-21T17:24:00,36.475956,138.226279,49.822,UQ Mobile,72,-14.569,1.0,1589.09
2024-09-21T17:27:00,36.479125,138.224817,47.968,UQ Mobile,18,-14.638,1.0,2535.71
2024-09-21T17:30:00,36.479169,138.222635,46.503,Summit LTE,36,-14.701,1.0,1633.07
2024-09-21T17:33:00,36.472115,138.2255,47.728,Alpine Mobile,90,-14.757,1.0,1182.91
2024-09-21T17:36:00,36.47416,138.219611,47.916,Summit LTE,18,-14.808,1.0,1312.06
2024-09-21T17:39:00,36.472571,138.226895,48.899,Alpine Mobile,72,-14.853,1.0,1262.54
2024-09-21T17:42:00,36.475883,138.22649,47.501,Summit LTE,90,-14.892,1.0,1738.56
2024-09-21T17:45:00,36.475792,138.22339,48.301,Summit LTE,36,-14.925,1.0,1176.79
2024-09-21T17:48:00,36.481176,138.224089,48.539,Summit LTE,72,-14.952,1.0,986.93
2024-09-21T17:51:00,36.47558,138.218037,47.346,UQ Mobile,36,-14.973,1.0,1750.5
2024-09-21T17:54:00,36.476795,138.222043,46.737,Alpine Mobile,90,-14.988,1.0,2371.55
2024-09-21T17:57:00,36.475932,138.22608,48.059,Summit LTE,36,-14.997,1.0,1480.33
2024-09-21T18:00:00,36.480371,138.219818,49.764,Summit LTE,90,-15.0,1.0,1037.25
2024-09-21T18:03:00,36.478112,138.216277,46.548,Alpine Mobile,72,-14.997,1.0,1778.57
2024-09-21T18:06:00,36.476267,138.215751,47.435,Summit LTE,72,-14.988,1.0,1878.39
2024-09-21T18:09:00,36.480841,138.220946,47.698,UQ Mobile,90,-14.973,1.0,1864.63
2024-09-21T18:12:00,36.479798,138.217638,51.005,Alpine Mobile,36,-14.952,1.0,1374.58
2024-09-21T18:15:00,36.477028,138.222074,50.958,Alpine Mobile,36,-14.925,1.0,976.81
2024-09-21T18:18:00,36.477789,138.215828,46.871,UQ Mobile,36,-14.892,1.0,2304.33
2024-09-21T18:21:00,36.475017,138.214233,48.179,UQ Mobile,36,-14.853,1.0,1641.76
2024-09-21T18:24:00,36.478727,138.221319,49.383,UQ Mobile,90,-14.808,1.0,1998.2
2024-09-21T18:27:00,36.473697,138.219547,47.313,UQ Mobile,36,-14.757,1.0,2129.56
2024-09-21T18:30:00,36.482358,138.221441,47.126,Alpine Mobile,90,-14.701,1.0,2187.36
2024-09-21T18:33:00,36.479275,138.213235,47.677,UQ Mobile,18,-14.638,1.0,2496.34
2024-09-21T18:36:00,36.475467,138.21931,48.139,UQ Mobile,90,-14.569,1.0,1440.16
2024-09-21T18:39:00,36.48126,138.218761,50.704,UQ Mobile,18,-14.494,1.0,1491.22
2024-09-21T18:42:00,36.474472,138.216718,46.847,Summit LTE,18,-14.414,1.0,2186.34
