time,lattitude,longtitude,connection_strength_data,provider,tower_id,tide_height_m,wave_noise_component,distance_to_coast_km
2024-06-01T02:25:00,33.810588,135.146191,67.75,UQ Mobile,CST-104,0.401,3.098,0.922
2024-06-01T02:30:00,33.815769,135.141599,69.564,UQ Mobile,CST-105,0.414,3.182,0.947
2024-06-01T02:35:00,33.817228,135.149937,67.36,UQ Mobile,CST-106,0.428,3.264,0.971
2024-06-01T02:40:00,33.810152,135.148603,70.095,KDDI Coastal,CST-107,0.441,3.344,0.996
2024-06-01T02:45:00,33.826886,135.144344,69.624,Pacific Wave LTE,CST-108,0.454,3.422,1.02
2024-06-01T02:50:00,33.83059,135.151346,69.716,UQ Mobile,CST-109,0.468,3.497,1.045
2024-06-01T02:55:00,33.822623,135.139693,68.244,KDDI Coastal,CST-110,0.481,3.57,1.069
2024-06-01T03:00:00,33.827708,135.15138,68.842,UQ Mobile,CST-111,0.494,3.641,1.094
2024-06-01T03:05:00,33.817879,135.150916,68.985,Pacific Wave LTE,CST-112,0.508,3.709,1.118
2024-06-01T03:10:00,33.824292,135.140939,67.959,KDDI Coastal,CST-113,0.521,3.774,1.143
2024-06-01T03:15:00,33.818637,135.146259,70.0,UQ Mobile,CST-114,0.534,3.837,1.167
2024-06-01T03:20:00,33.819279,135.146776,70.149,Pacific Wave LTE,CST-115,0.547,3.897,1.192
2024-06-01T03:25:00,33.831237,135.139085,70.195,Pacific Wave LTE,CST-116,0.56,3.955,1.216
2024-06-01T03:30:00,33.836003,135.155055,68.699,KDDI Coastal,CST-117,0.573,4.01,1.24
2024-06-01T03:35:00,33.83107,135.157298,70.142,Pacific Wave LTE,CST-118,0.586,4.062,1.265
2024-06-01T03:40:00,33.820897,135.145874,71.368,Pacific Wave LTE,CST-119,0.599,4.111,1.289
2024-06-01T03:45:00,33.825688,135.150038,70.525,UQ Mobile,CST-120,0.612,4.157,1.313
2024-06-01T03:50:00,33.825394,135.153141,69.753,Pacific Wave LTE,CST-121,0.625,4.201,1.338
2024-06-01T03:55:00,33.827507,135.140993,71.166,Pacific Wave LTE,CST-122,0.638,4.242,1.362
2024-06-01T04:00:00,33.819938,135.155239,70.965,UQ Mobile,CST-123,0.651,4.28,1.386
2024-06-01T04:05:00,33.832225,135.156285,70.492,Pacific Wave LTE,CST-124,0.664,4.315,1.41
2024-06-01T04:10:00,33.836241,135.147197,70.168,KDDI Coastal,CST-100,0.676,4.347,1.434
2024-06-01T04:15:00,33.838907,135.148419,69.472,Pacific Wave LTE,CST-101,0.689,4.376,1.458
2024-06-01T04:20:00,33.826477,135.149886,71.007,KDDI Coastal,CST-102,0.701,4.402,1.482
2024-06-01T04:25:00,33.841405,135.144816,70.321,Pacific Wave LTE,CST-103,0.714,4.425,1.506
2024-06-01T04:30:00,33.824202,135.140673,69.178,KDDI Coastal,CST-104,0.726,4.445,1.53
2024-06-01T04:35:00,33.83128,135.142345,70.395,Pacific Wave LTE,CST-105,0.739,4.462,1.554
2024-06-01T04:40:00,33.838397,135.155712,70.425,KDDI Coastal,CST-106,0.751,4.475,1.578
2024-06-01T04:45:00,33.839866,135.146358,69.51,UQ Mobile,CST-107,0.763,4.486,1.601
2024-06-01T04:50:00,33.845439,135.153683,70.768,KDDI Coastal,CST-108,0.776,4.494,1.625
2024-06-01T04:55:00,33.829568,135.155263,69.084,UQ Mobile,CST-109,0.788,4.498,1.649
2024-06-01T05:00:00,33.829484,135.145179,70.545,KDDI Coastal,CST-110,0.8,4.5,1.672
2024-06-01T05:05:00,33.836058,135.142763,69.725,UQ Mobile,CST-111,0.812,4.498,1.696
2024-06-01T05:10:00,33.82919,135.143933,71.125,Pacific Wave LTE,CST-112,0.824,4.494,1.72
2024-06-01T05:15:00,33.833722,135.146752,71.226,Pacific Wave LTE,CST-113,0.836,4.486,1.743
2024-06-01T05:20:00,33.831903,135.150894,71.552,UQ Mobile,CST-114,0.848,4.475,1.767
2024-06-01T05:25:00,33.839523,135.144901,70.909,Pacific Wave LTE,CST-115,0.86,4.462,1.79
2024-06-01T05:30:00,33.844173,135.134476,71.187,KDDI Coastal,CST-116,0.871,4.445,1.813
2024-06-01T05:35:00,33.84107,135.136996,70.53,Pacific Wave LTE,CST-117,0.883,4.425,1.837
2024-06-01T05:40:00,33.849061,135.153758,70.872,Pacific Wave LTE,CST-118,0.895,4.402,1.86
2024-06-01T05:45:00,33.846411,135.134316,70.83,Pacific Wave LTE,CST-119,0.906,4.376,1.883
2024-06-01T05:50:00,33.849264,135.139267,69.885,Pacific Wave LTE,CST-120,0.918,4.347,1.906
2024-06-01T05:55:00,33.852187,135.151403,72.022,Pacific Wave LTE,CST-121,0.929,4.315,1.929
2024-06-01T06:00:00,33.853582,135.143691,70.141,KDDI Coastal,CST-122,0.94,4.28,1.952
2024-06-01T06:05:00,33.849148,135.13799,69.636,UQ Mobile,CST-123,0.952,4.242,1.975
2024-06-01T06:10:00,33.837292,135.150661,70.223,Pacific Wave LTE,CST-124,0.963,4.201,1.998
2024-06-01T06:15:00,33.84996,135.134035,70.046,UQ Mobile,CST-100,0.974,4.157,2.021
2024-06-01T06:20:00,33.853801,135.138343,70.982,KDDI Coastal,CST-101,0.985,4.111,2.044
2024-06-01T06:25:00,33.839417,135.132829,71.617,KDDI Coastal,CST-102,0.996,4.062,2.067
2024-06-01T06:30:00,33.852901,135.151489,71.151,UQ Mobile,CST-103,1.007,4.01,2.09
2024-06-01T06:35:00,33.849683,135.145056,69.384,Pacific Wave LTE,CST-104,1.018,3.955,2.112
2024-06-01T06:40:00,33.843004,135.147481,71.721,KDDI Coastal,CST-105,1.028,3.897,2.135
2024-06-01T06:45:00,33.849363,135.146684,71.591,UQ Mobile,CST-106,1.039,3.837,2.157
2024-06-01T06:50:00,33.84278,135.139411,68.971,UQ Mobile,CST-107,1.05,3.774,2.18
2024-06-01T06:55:00,33.843612,135.144118,69.307,Pacific Wave LTE,CST-108,1.06,3.709,2.202
2024-06-01T07:00:00,33.84702,135.13143,70.695,UQ Mobile,CST-109,1.071,3.641,2.225
2024-06-01T07:05:00,33.858057,135.136493,70.939,Pacific Wave LTE,CST-110,1.081,3.57,2.247
2024-06-01T07:10:00,33.843636,135.148673,69.333,KDDI Coastal,CST-111,1.091,3.497,2.269
2024-06-01T07:15:00,33.861973,135.144779,68.544,KDDI Coastal,CST-112,1.101,3.422,2.291
2024-06-01T07:20:00,33.856549,135.142969,68.92,KDDI Coastal,CST-113,1.111,3.344,2.313
2024-06-01T07:25:00,33.864033,135.145886,69.592,Pacific Wave LTE,CST-114,1.121,3.264,2.335
2024-06-01T07:30:00,33.854121,135.142531,68.805,Pacific Wave LTE,CST-115,1.131,3.182,2.357
2024-06-01T07:35:00,33.860204,135.13113,68.47,Pacific Wave LTE,CST-116,1.141,3.098,2.379
2024-06-01T07:40:00,33.852114,135.136633,69.755,Pacific Wave LTE,CST-117,1.151,3.011,2.401
2024-06-01T07:45:00,33.85161,135.142317,69.434,Pacific Wave LTE,CST-118,1.161,2.923,2.423
2024-06-01T07:50:00,33.851662,135.140634,68.738,Pacific Wave LTE,CST-119,1.17,2.832,2.445
2024-06-01T07:55:00,33.849559,135.128546,70.638,KDDI Coastal,CST-120,1.18,2.739,2.466
2024-06-01T08:00:00,33.860547,135.140772,70.28,UQ Mobile,CST-121,1.189,2.645,2.488
2024-06-01T08:05:00,33.854999,135.130489,70.218,KDDI Coastal,CST-122,1.198,2.549,2.509
2024-06-01T08:10:00,33.865944,135.127882,70.442,Pacific Wave LTE,CST-123,1.208,2.451,2.531
2024-06-01T08:15:00,33.850204,135.139838,68.342,UQ Mobile,CST-124,1.217,2.351,2.552
2024-06-01T08:20:00,33.851723,135.143452,68.285,Pacific Wave LTE,CST-100,1.226,2.25,2.573
2024-06-01T08:25:00,33.860777,135.140214,68.511,Pacific Wave LTE,CST-101,1.235,2.147,2.595
2024-06-01T08:30:00,33.852949,135.142252,70.042,KDDI Coastal,CST-102,1.243,2.043,2.616
2024-06-01T08:35:00,33.854385,135.144478,67.382,KDDI Coastal,CST-103,1.252,1.937,2.637
2024-06-01T08:40:00,33.871671,135.143423,67.097,UQ Mobile,CST-104,1.261,1.83,2.658
2024-06-01T08:45:00,33.856025,135.127745,69.066,UQ Mobile,CST-105,1.269,1.722,2.679
2024-06-01T08:50:00,33.862695,135.134295,69.705,UQ Mobile,CST-106,1.278,1.613,2.699
2024-06-01T08:55:00,33.865821,135.12565,67.884,UQ Mobile,CST-107,1.286,1.502,2.72
2024-06-01T09:00:00,33.857865,135.132625,68.307,KDDI Coastal,CST-108,1.294,1.391,2.741
2024-06-01T09:05:00,33.86488,135.140737,66.865,UQ Mobile,CST-109,1.303,1.278,2.761
2024-06-01T09:10:00,33.867226,135.140536,66.599,Pacific Wave LTE,CST-110,1.311,1.165,2.782
2024-06-01T09:15:00,33.867166,135.143897,67.533,UQ Mobile,CST-111,1.319,1.051,2.802
2024-06-01T09:20:00,33.858071,135.127111,66.219,UQ Mobile,CST-112,1.326,0.936,2.823
2024-06-01T09:25:00,33.866513,135.138368,69.019,Pacific Wave LTE,CST-113,1.334,0.82,2.843
2024-06-01T09:30:00,33.859346,135.14228,68.224,Pacific Wave LTE,CST-114,1.342,0.704,2.863
2024-06-01T09:35:00,33.863179,135.142331,68.18,UQ Mobile,CST-115,1.349,0.587,2.883
2024-06-01T09:40:00,33.873833,135.13998,67.999,Pacific Wave LTE,CST-116,1.357,0.47,2.903
2024-06-01T09:45:00,33.868049,135.128426,67.091,UQ Mobile,CST-117,1.364,0.353,2.923
2024-06-01T09:50:00,33.869012,135.136874,68.182,Pacific Wave LTE,CST-118,1.371,0.236,2.943
2024-06-01T09:55:00,33.8711,135.126947,66.341,Pacific Wave LTE,CST-119,1.379,0.118,2.963
2024-06-01T10:00:00,33.880375,135.129673,67.654,KDDI Coastal,CST-120,1.386,0.0,2.983
2024-06-01T10:05:00,33.866914,135.140149,67.156,UQ Mobile,CST-121,1.393,-0.118,3.002
2024-06-01T10:10:00,33.869971,135.130991,66.713,Pacific Wave LTE,CST-122,1.399,-0.236,3.022
2024-06-01T10:15:00,33.868453,135.136837,66.847,KDDI Coastal,CST-123,1.406,-0.353,3.041
2024-06-01T10:20:00,33.875833,135.130466,67.389,UQ Mobile,CST-124,1.413,-0.47,3.061
2024-06-01T10:25:00,33.874217,135.134078,65.67,Pacific Wave LTE,CST-100,1.419,-0.587,3.08
2024-06-01T10:30:00,33.86935,135.121149,66.474,KDDI Coastal,CST-101,1.426,-0.704,3.099
2024-06-01T10:35:00,33.88447,135.133086,65.565,KDDI Coastal,CST-102,1.432,-0.82,3.118
2024-06-01T10:40:00,33.866808,135.131425,67.235,KDDI Coastal,CST-103,1.438,-0.936,3.137
2024-06-01T10:45:00,33.874332,135.12976,66.851,UQ Mobile,CST-104,1.444,-1.051,3.156
2024-06-01T10:50:00,33.885811,135.131441,64.353,Pacific Wave LTE,CST-105,1.45,-1.165,3.175
2024-06-01T10:55:00,33.886652,135.131306,65.942,KDDI Coastal,CST-106,1.456,-1.278,3.193
2024-06-01T11:00:00,33.885482,135.124402,65.492,UQ Mobile,CST-107,1.462,-1.391,3.212
2024-06-01T11:05:00,33.869401,135.12312,64.031,KDDI Coastal,CST-108,1.467,-1.502,3.231
2024-06-01T11:10:00,33.881147,135.13668,64.812,UQ Mobile,CST-109,1.473,-1.613,3.249
2024-06-01T11:15:00,33.881102,135.124212,66.444,KDDI Coastal,CST-110,1.478,-1.722,3.267
2024-06-01T11:20:00,33.889418,135.126065,65.918,Pacific Wave LTE,CST-111,1.483,-1.83,3.286
2024-06-01T11:25:00,33.873434,135.131442,65.535,UQ Mobile,CST-112,1.489,-1.937,3.304
2024-06-01T11:30:00,33.885874,135.115903,65.189,KDDI Coastal,CST-113,1.494,-2.043,3.322
2024-06-01T11:35:00,33.873262,135.128322,65.84,KDDI Coastal,CST-114,1.499,-2.147,3.34
2024-06-01T11:40:00,33.88445,135.129702,64.064,KDDI Coastal,CST-115,1.504,-2.25,3.358
2024-06-01T11:45:00,33.879429,135.134697,65.381,Pacific Wave LTE,CST-116,1.508,-2.351,3.375
2024-06-01T11:50:00,33.889105,135.115918,63.455,Pacific Wave LTE,CST-117,1.513,-2.451,3.393
2024-06-01T11:55:00,33.892984,135.129314,63.973,KDDI Coastal,CST-118,1.517,-2.549,3.411
2024-06-01T12:00:00,33.892573,135.122065,63.13,Pacific Wave LTE,CST-119,1.522,-2.645,3.428
2024-06-01T12:05:00,33.88184,135.125361,64.366,KDDI Coastal,CST-120,1.526,-2.739,3.445
2024-06-01T12:10:00,33.885488,135.116024,65.313,KDDI Coastal,CST-121,1.53,-2.832,3.463
2024-06-01T12:15:00,33.893426,135.112942,63.629,UQ Mobile,CST-122,1.534,-2.923,3.48
2024-06-01T12:20:00,33.896112,135.125878,63.129,KDDI Coastal,CST-123,1.538,-3.011,3.497
2024-06-01T12:25:00,33.886748,135.115433,65.308,Pacific Wave LTE,CST-124,1.542,-3.098,3.514
2024-06-01T12:30:00,33.879398,135.125934,64.171,UQ Mobile,CST-100,1.545,-3.182,3.531
2024-06-01T12:35:00,33.87973,135.117158,63.089,UQ Mobile,CST-101,1.549,-3.264,3.548
2024-06-01T12:40:00,33.881298,135.126473,63.827,Pacific Wave LTE,CST-102,1.552,-3.344,3.564
2024-06-01T12:45:00,33.898471,135.11735,62.411,UQ Mobile,CST-103,1.556,-3.422,3.581
2024-06-01T12:50:00,33.886482,135.11042,62.011,KDDI Coastal,CST-104,1.559,-3.497,3.597
2024-06-01T12:55:00,33.88586,135.120916,64.22,Pacific Wave LTE,CST-105,1.562,-3.57,3.614
2024-06-01T13:00:00,33.892635,135.114419,62.175,KDDI Coastal,CST-106,1.565,-3.641,3.63
2024-06-01T13:05:00,33.883201,135.127941,64.09,Pacific Wave LTE,CST-107,1.568,-3.709,3.646
2024-06-01T13:10:00,33.898191,135.11588,63.309,Pacific Wave LTE,CST-108,1.571,-3.774,3.662
2024-06-01T13:15:00,33.896745,135.126827,63.793,UQ Mobile,CST-109,1.573,-3.837,3.678
2024-06-01T13:20:00,33.896059,135.10834,62.243,Pacific Wave LTE,CST-110,1.576,-3.897,3.694
2024-06-01T13:25:00,33.883416,135.124935,64.204,UQ Mobile,CST-111,1.578,-3.955,3.709
2024-06-01T13:30:00,33.890457,135.112845,62.79,Pacific Wave LTE,CST-112,1.58,-4.01,3.725
2024-06-01T13:35:00,33.886887,135.119191,64.268,Pacific Wave LTE,CST-113,1.582,-4.062,3.74
2024-06-01T13:40:00,33.887869,135.117299,63.081,Pacific Wave LTE,CST-114,1.584,-4.111,3.756
2024-06-01T13:45:00,33.897354,135.11693,63.403,UQ Mobile,CST-115,1.586,-4.157,3.771
2024-06-01T13:50:00,33.895769,135.113457,62.362,KDDI Coastal,CST-116,1.588,-4.201,3.786
2024-06-01T13:55:00,33.903694,135.114199,62.507,KDDI Coastal,CST-117,1.59,-4.242,3.801
2024-06-01T14:00:00,33.900111,135.123637,61.814,UQ Mobile,CST-118,1.591,-4.28,3.816
2024-06-01T14:05:00,33.893249,135.119953,63.903,Pacific Wave LTE,CST-119,1.593,-4.315,3.831
2024-06-01T14:10:00,33.894853,135.122316,62.284,KDDI Coastal,CST-120,1.594,-4.347,3.846
2024-06-01T14:15:00,33.893884,135.10673,61.49,KDDI Coastal,CST-121,1.595,-4.376,3.86
2024-06-01T14:20:00,33.898281,135.117771,61.214,Pacific Wave LTE,CST-122,1.596,-4.402,3.875
2024-06-01T14:25:00,33.89291,135.111955,61.179,UQ Mobile,CST-123,1.597,-4.425,3.889
2024-06-01T14:30:00,33.897048,135.11376,61.441,UQ Mobile,CST-124,1.598,-4.445,3.903
2024-06-01T14:35:00,33.894009,135.107614,62.919,KDDI Coastal,CST-100,1.598,-4.462,3.918
2024-06-01T14:40:00,33.907885,135.106108,63.791,KDDI Coastal,CST-101,1.599,-4.475,3.932
2024-06-01T14:45:00,33.893021,135.120675,62.47,Pacific Wave LTE,CST-102,1.599,-4.486,3.946
2024-06-01T14:50:00,33.893733,135.118978,62.369,KDDI Coastal,CST-103,1.6,-4.494,3.959
2024-06-01T14:55:00,33.894151,135.116167,62.168,Pacific Wave LTE,CST-104,1.6,-4.498,3.973
2024-06-01T15:00:00,33.903008,135.106577,63.711,UQ Mobile,CST-105,1.6,-4.5,3.987
2024-06-01T15:05:00,33.892947,135.102739,61.099,KDDI Coastal,CST-106,1.6,-4.498,4.0
2024-06-01T15:10:00,33.895202,135.111331,62.046,KDDI Coastal,CST-107,1.6,-4.494,4.013
2024-06-01T15:15:00,33.910533,135.109241,62.659,UQ Mobile,CST-108,1.599,-4.486,4.027
2024-06-01T15:20:00,33.904944,135.099671,61.981,Pacific Wave LTE,CST-109,1.599,-4.475,4.04
2024-06-01T15:25:00,33.911753,135.109446,62.54,KDDI Coastal,CST-110,1.598,-4.462,4.053
2024-06-01T15:30:00,33.902062,135.100792,63.184,UQ Mobile,CST-111,1.598,-4.445,4.066
2024-06-01T15:35:00,33.904345,135.099153,63.727,UQ Mobile,CST-112,1.597,-4.425,4.078
2024-06-01T15:40:00,33.913495,135.096387,62.861,UQ Mobile,CST-113,1.596,-4.402,4.091
2024-06-01T15:45:00,33.897949,135.108048,62.484,KDDI Coastal,CST-114,1.595,-4.376,4.103
2024-06-01T15:50:00,33.911521,135.113948,62.343,UQ Mobile,CST-115,1.594,-4.347,4.116
2024-06-01T15:55:00,33.915691,135.10142,61.602,Pacific Wave LTE,CST-116,1.593,-4.315,4.128
2024-06-01T16:00:00,33.912597,135.097848,63.401,UQ Mobile,CST-117,1.591,-4.28,4.14
2024-06-01T16:05:00,33.917291,135.108211,63.406,Pacific Wave LTE,CST-118,1.59,-4.242,4.152
2024-06-01T16:10:00,33.899887,135.1135,62.696,KDDI Coastal,CST-119,1.588,-4.201,4.164
2024-06-01T16:15:00,33.904495,135.108016,63.595,Pacific Wave LTE,CST-120,1.586,-4.157,4.176
2024-06-01T16:20:00,33.91435,135.105108,62.262,Pacific Wave LTE,CST-121,1.584,-4.111,4.188
2024-06-01T16:25:00,33.90698,135.102261,61.629,UQ Mobile,CST-122,1.582,-4.062,4.199
2024-06-01T16:30:00,33.915666,135.105405,63.108,KDDI Coastal,CST-123,1.58,-4.01,4.21
2024-06-01T16:35:00,33.914196,135.109913,63.687,UQ Mobile,CST-124,1.578,-3.955,4.222
2024-06-01T16:40:00,33.907792,135.094928,64.104,UQ Mobile,CST-100,1.576,-3.897,4.233
2024-06-01T16:45:00,33.916343,135.09109,62.928,KDDI Coastal,CST-101,1.573,-3.837,4.244
2024-06-01T16:50:00,33.914049,135.091239,64.292,KDDI Coastal,CST-102,1.571,-3.774,4.255
2024-06-01T16:55:00,33.914783,135.10669,63.288,UQ Mobile,CST-103,1.568,-3.709,4.266
2024-06-01T17:00:00,33.919758,135.10815,63.055,KDDI Coastal,CST-104,1.565,-3.641,4.276
2024-06-01T17:05:00,33.904101,135.099579,63.799,UQ Mobile,CST-105,1.562,-3.57,4.287
2024-06-01T17:10:00,33.908706,135.101619,64.13,UQ Mobile,CST-106,1.559,-3.497,4.297
2024-06-01T17:15:00,33.916397,135.090765,63.99,KDDI Coastal,CST-107,1.556,-3.422,4.307
2024-06-01T17:20:00,33.905566,135.102086,62.878,UQ Mobile,CST-108,1.552,-3.344,4.318
2024-06-01T17:25:00,33.915988,135.087251,64.092,Pacific Wave LTE,CST-109,1.549,-3.264,4.328
2024-06-01T17:30:00,33.915644,135.099569,62.452,Pacific Wave LTE,CST-110,1.545,-3.182,4.338
2024-06-01T17:35:00,33.922372,135.102677,63.981,Pacific Wave LTE,CST-111,1.542,-3.098,4.347
2024-06-01T17:40:00,33.923236,135.098616,63.128,UQ Mobile,CST-112,1.538,-3.011,4.357
2024-06-01T17:45:00,33.916892,135.098884,64.908,KDDI Coastal,CST-113,1.534,-2.923,4.366
2024-06-01T17:50:00,33.917693,135.103309,64.286,KDDI Coastal,CST-114,1.53,-2.832,4.376
2024-06-01T17:55:00,33.915633,135.086887,62.506,UQ Mobile,CST-115,1.526,-2.739,4.385
2024-06-01T18:00:00,33.924248,135.099137,64.907,Pacific Wave LTE,CST-116,1.522,-2.645,4.394
2024-06-01T18:05:00,33.918051,135.090618,64.442,KDDI Coastal,CST-117,1.517,-2.549,4.403
2024-06-01T18:10:00,33.913352,135.082575,63.715,KDDI Coastal,CST-118,1.513,-2.451,4.412
2024-06-01T18:15:00,33.919283,135.089377,63.229,Pacific Wave LTE,CST-119,1.508,-2.351,4.421
2024-06-01T18:20:00,33.911362,135.084344,63.745,KDDI Coastal,CST-120,1.504,-2.25,4.429
2024-06-01T18:25:00,33.927095,135.096258,64.183,UQ Mobile,CST-121,1.499,-2.147,4.438
2024-06-01T18:30:00,33.917814,135.092818,63.145,UQ Mobile,CST-122,1.494,-2.043,4.446
2024-06-01T18:35:00,33.911112,135.098627,65.95,UQ Mobile,CST-123,1.489,-1.937,4.454
2024-06-01T18:40:00,33.912636,135.093342,64.277,Pacific Wave LTE,CST-124,1.483,-1.83,4.462
2024-06-01T18:45:00,33.91555,135.091754,65.152,UQ Mobile,CST-100,1.478,-1.722,4.47
2024-06-01T18:50:00,33.916595,135.086556,64.233,UQ Mobile,CST-101,1.473,-1.613,4.478
2024-06-01T18:55:00,33.924096,135.096418,65.985,Pacific Wave LTE,CST-102,1.467,-1.502,4.486
2024-06-01T19:00:00,33.928327,135.090496,64.795,UQ Mobile,CST-103,1.462,-1.391,4.493
2024-06-01T19:05:00,33.917526,135.09528,65.324,Pacific Wave LTE,CST-104,1.456,-1.278,4.501
2024-06-01T19:10:00,33.921324,135.078152,65.797,Pacific Wave LTE,CST-105,1.45,-1.165,4.508
2024-06-01T19:15:00,33.928296,135.081248,66.385,UQ Mobile,CST-106,1.444,-1.051,4.515
2024-06-01T19:20:00,33.929889,135.09105,64.544,KDDI Coastal,CST-107,1.438,-0.936,4.522
2024-06-01T19:25:00,33.930206,135.091532,65.876,Pacific Wave LTE,CST-108,1.432,-0.82,4.529
2024-06-01T19:30:00,33.919195,135.086221,65.104,UQ Mobile,CST-109,1.426,-0.704,4.536
2024-06-01T19:35:00,33.925233,135.090996,66.199,UQ Mobile,CST-110,1.419,-0.587,4.543
2024-06-01T19:40:00,33.918797,135.079489,66.345,Pacific Wave LTE,CST-111,1.413,-0.47,4.549
2024-06-01T19:45:00,33.928836,135.07402,66.37,KDDI Coastal,CST-112,1.406,-0.353,4.555
2024-06-01T19:50:00,33.929976,135.087083,65.08,UQ Mobile,CST-113,1.399,-0.236,4.562
2024-06-01T19:55:00,33.916147,135.077789,65.452,KDDI Coastal,CST-114,1.393,-0.118,4.568
2024-06-01T20:00:00,33.922561,135.072871,65.188,Pacific Wave LTE,CST-115,1.386,-0.0,4.574
2024-06-01T20:05:00,33.917471,135.083093,67.345,UQ Mobile,CST-116,1.379,0.118,4.58
2024-06-01T20:10:00,33.920842,135.08262,65.761,UQ Mobile,CST-117,1.371,0.236,4.585
2024-06-01T20:15:00,33.930307,135.07292,66.995,UQ Mobile,CST-118,1.364,0.353,4.591
2024-06-01T20:20:00,33.923669,135.080386,67.359,Pacific Wave LTE,CST-119,1.357,0.47,4.596
2024-06-01T20:25:00,33.933908,135.074759,66.879,UQ Mobile,CST-120,1.349,0.587,4.601
2024-06-01T20:30:00,33.926887,135.087028,65.465,KDDI Coastal,CST-121,1.342,0.704,4.607
2024-06-01T20:35:00,33.923893,135.077293,66.978,Pacific Wave LTE,CST-122,1.334,0.82,4.612
2024-06-01T20:40:00,33.922976,135.076861,66.538,UQ Mobile,CST-123,1.326,0.936,4.616
2024-06-01T20:45:00,33.933251,135.071585,65.569,KDDI Coastal,CST-124,1.319,1.051,4.621
2024-06-01T20:50:00,33.933539,135.070216,65.737,UQ Mobile,CST-100,1.311,1.165,4.626
2024-06-01T20:55:00,33.930662,135.076346,67.453,Pacific Wave LTE,CST-101,1.303,1.278,4.63
2024-06-01T21:00:00,33.928305,135.077429,67.869,UQ Mobile,CST-102,1.294,1.391,4.635
2024-06-01T21:05:00,33.927356,135.069772,68.583,Pacific Wave LTE,CST-103,1.286,1.502,4.639
2024-06-01T21:10:00,33.922538,135.07486,66.816,KDDI Coastal,CST-104,1.278,1.613,4.643
2024-06-01T21:15:00,33.932852,135.065398,66.549,UQ Mobile,CST-105,1.269,1.722,4.647
2024-06-01T21:20:00,33.938329,135.071768,67.276,UQ Mobile,CST-106,1.261,1.83,4.65
2024-06-01T21:25:00,33.92609,135.075942,67.073,KDDI Coastal,CST-107,1.252,1.937,4.654
