time,lattitude,longtitude,connection_strength_data,provider,surface_temp_c,inversion_layer_strength,dust_index,thermal_updraft_mps
2024-05-10T05:34:00,24.287025,54.74372,57.616,Oasis Wireless,37.302,0.00057,1.255,3.006
2024-05-10T05:35:00,24.270367,54.755841,58.243,UQ Mobile,36.454,0.00059,1.086,2.966
2024-05-10T05:36:00,24.27319,54.7618,57.364,DesertBeam,36.791,0.0006,1.231,2.714
2024-05-10T05:37:00,24.287941,54.744666,58.432,DesertBeam,36.512,0.00062,0.965,2.718
2024-05-10T05:38:00,24.297391,54.745692,57.305,UQ Mobile,37.043,0.00063,1.241,2.697
2024-05-10T05:39:00,24.281947,54.762671,57.082,DesertBeam,37.395,0.00065,1.321,2.779
2024-05-10T05:40:00,24.273632,54.764174,57.516,DesertBeam,36.973,0.00067,1.253,2.911
2024-05-10T05:41:00,24.273604,54.768414,57.669,Oasis Wireless,37.263,0.00068,1.226,2.949
2024-05-10T05:42:00,24.279298,54.759334,57.838,UQ Mobile,36.409,0.0007,1.115,2.718
2024-05-10T05:43:00,24.275638,54.755019,57.428,UQ Mobile,36.976,0.00072,1.278,2.919
2024-05-10T05:44:00,24.273139,54.767577,57.059,DesertBeam,37.239,0.00074,1.402,3.027
2024-05-10T05:45:00,24.261158,54.747343,58.615,Oasis Wireless,35.968,0.00076,0.998,2.974
2024-05-10T05:46:00,24.27403,54.756665,57.999,UQ Mobile,36.762,0.00077,1.12,2.867
2024-05-10T05:47:00,24.281256,54.754449,58.47,UQ Mobile,37.835,0.00079,1.003,2.87
2024-05-10T05:48:00,24.263776,54.748043,58.689,Oasis Wireless,37.692,0.00081,1.0,3.041
2024-05-10T05:49:00,24.280835,54.740981,58.137,UQ Mobile,36.512,0.00083,1.079,2.844
2024-05-10T05:50:00,24.280525,54.754206,57.919,DesertBeam,37.092,0.00086,1.125,2.815
2024-05-10T05:51:00,24.273858,54.751837,57.938,UQ Mobile,37.955,0.00088,1.109,2.774
2024-05-10T05:52:00,24.299095,54.74499,58.133,DesertBeam,36.946,0.0009,1.156,3.093
2024-05-10T05:53:00,24.272898,54.765547,58.762,DesertBeam,37.389,0.00092,0.989,3.061
2024-05-10T05:54:00,24.280649,54.777647,58.721,DesertBeam,37.368,0.00094,0.937,2.852
2024-05-10T05:55:00,24.265406,54.74205,58.455,Oasis Wireless,37.753,0.00097,1.012,2.877
2024-05-10T05:56:00,24.27922,54.778234,57.858,Oasis Wireless,37.378,0.00099,1.238,3.132
2024-05-10T05:57:00,24.264816,54.764638,59.237,Oasis Wireless,36.585,0.00102,0.826,2.909
2024-05-10T05:58:00,24.266643,54.757734,57.802,Oasis Wireless,36.359,0.00104,1.173,2.867
2024-05-10T05:59:00,24.27174,54.744082,57.564,Oasis Wireless,36.58,0.00107,1.316,3.145
2024-05-10T06:00:00,24.282937,54.755695,57.844,DesertBeam,36.909,0.00109,1.149,2.822
2024-05-10T06:01:00,24.269435,54.778619,58.881,UQ Mobile,36.852,0.00112,0.916,2.907
2024-05-10T06:02:00,24.273541,54.749062,58.14,Oasis Wireless,37.75,0.00115,1.088,2.864
2024-05-10T06:03:00,24.29479,54.759616,59.241,UQ Mobile,36.678,0.00118,0.83,2.918
2024-05-10T06:04:00,24.263124,54.759799,59.291,DesertBeam,37.672,0.0012,0.785,2.808
2024-05-10T06:05:00,24.275248,54.756831,58.109,UQ Mobile,37.247,0.00123,1.085,2.821
2024-05-10T06:06:00,24.279777,54.769297,57.825,Oasis Wireless,37.296,0.00126,1.197,2.957
2024-05-10T06:07:00,24.260007,54.744637,57.709,DesertBeam,36.92,0.0013,1.208,2.898
2024-05-10T06:08:00,24.277313,54.761183,57.988,UQ Mobile,36.883,0.00133,1.142,2.907
2024-05-10T06:09:00,24.274394,54.744589,57.797,UQ Mobile,37.605,0.00136,1.18,2.874
2024-05-10T06:10:00,24.282143,54.741886,58.387,UQ Mobile,37.663,0.00139,1.077,3.02
2024-05-10T06:11:00,24.263676,54.770372,58.21,DesertBeam,37.759,0.00142,1.14,3.082
2024-05-10T06:12:00,24.275599,54.757259,58.818,Oasis Wireless,38.532,0.00146,0.996,3.108
2024-05-10T06:13:00,24.27957,54.773456,58.093,Oasis Wireless,37.032,0.00149,1.169,3.08
2024-05-10T06:14:00,24.274376,54.762024,57.96,Oasis Wireless,37.165,0.00153,1.148,2.897
2024-05-10T06:15:00,24.277926,54.761674,57.8,UQ Mobile,36.967,0.00157,1.293,3.246
2024-05-10T06:16:00,24.261286,54.745975,58.66,Oasis Wireless,38.108,0.0016,0.985,2.934
2024-05-10T06:17:00,24.268579,54.747933,58.202,DesertBeam,37.489,0.00164,1.151,3.104
2024-05-10T06:18:00,24.263444,54.773791,59.723,UQ Mobile,36.961,0.00168,0.727,2.955
2024-05-10T06:19:00,24.274698,54.771965,57.989,DesertBeam,38.65,0.00172,1.187,3.043
2024-05-10T06:20:00,24.268325,54.777284,58.672,DesertBeam,36.845,0.00176,1.013,3.029
2024-05-10T06:21:00,24.286721,54.75111,57.767,Oasis Wireless,38.051,0.0018,1.257,3.086
2024-05-10T06:22:00,24.266176,54.757703,57.909,DesertBeam,37.145,0.00185,1.236,3.134
2024-05-10T06:23:00,24.285072,54.758031,58.817,Oasis Wireless,38.836,0.00189,0.974,3.016
2024-05-10T06:24:00,24.274278,54.76734,57.193,UQ Mobile,37.327,0.00193,1.349,2.909
2024-05-10T06:25:00,24.286812,54.774194,58.846,DesertBeam,37.275,0.00198,0.971,3.026
2024-05-10T06:26:00,24.284548,54.751548,58.475,Oasis Wireless,37.818,0.00202,1.109,3.174
2024-05-10T06:27:00,24.287912,54.773609,57.464,DesertBeam,38.717,0.00207,1.286,2.921
2024-05-10T06:28:00,24.265758,54.743435,57.933,DesertBeam,38.104,0.00212,1.21,3.057
2024-05-10T06:29:00,24.288633,54.763997,59.291,DesertBeam,37.246,0.00217,0.917,3.21
2024-05-10T06:30:00,24.265087,54.779233,59.354,Oasis Wireless,38.31,0.00222,0.848,3.03
2024-05-10T06:31:00,24.291749,54.763436,58.779,UQ Mobile,37.329,0.00227,1.075,3.303
2024-05-10T06:32:00,24.269781,54.755006,57.474,DesertBeam,37.085,0.00232,1.297,2.954
2024-05-10T06:33:00,24.272281,54.762714,57.394,DesertBeam,37.125,0.00238,1.409,3.259
2024-05-10T06:34:00,24.281243,54.753313,59.64,UQ Mobile,37.589,0.00243,0.776,3.02
2024-05-10T06:35:00,24.266309,54.776003,58.383,UQ Mobile,37.714,0.00249,1.129,3.145
2024-05-10T06:36:00,24.284885,54.761039,58.104,UQ Mobile,38.365,0.00254,1.156,2.999
2024-05-10T06:37:00,24.295043,54.769958,59.482,UQ Mobile,39.13,0.0026,0.905,3.309
2024-05-10T06:38:00,24.278063,54.752127,57.912,Oasis Wireless,38.405,0.00266,1.252,3.155
2024-05-10T06:39:00,24.264183,54.760231,58.656,DesertBeam,38.953,0.00272,1.04,3.067
2024-05-10T06:40:00,24.275339,54.777955,58.57,UQ Mobile,38.712,0.00278,1.104,3.207
2024-05-10T06:41:00,24.265065,54.770532,58.502,Oasis Wireless,38.548,0.00285,1.079,3.062
2024-05-10T06:42:00,24.28416,54.763361,57.639,Oasis Wireless,37.441,0.00291,1.327,3.168
2024-05-10T06:43:00,24.298881,54.774865,58.134,UQ Mobile,38.899,0.00297,1.183,3.1
2024-05-10T06:44:00,24.278506,54.766117,58.453,Oasis Wireless,37.456,0.00304,1.132,3.192
2024-05-10T06:45:00,24.273516,54.753368,59.104,UQ Mobile,39.193,0.00311,0.927,3.048
2024-05-10T06:46:00,24.280727,54.777218,58.867,UQ Mobile,37.443,0.00318,1.036,3.209
2024-05-10T06:47:00,24.275705,54.75517,58.693,DesertBeam,38.473,0.00325,1.139,3.405
2024-05-10T06:48:00,24.281738,54.756661,58.949,UQ Mobile,37.435,0.00332,0.978,3.078
2024-05-10T06:49:00,24.270193,54.761471,59.455,Oasis Wireless,38.709,0.0034,0.955,3.421
2024-05-10T06:50:00,24.294831,54.766334,59.442,Oasis Wireless,38.887,0.00347,0.934,3.338
2024-05-10T06:51:00,24.26171,54.75582,58.221,UQ Mobile,37.509,0.00355,1.198,3.195
2024-05-10T06:52:00,24.297044,54.776027,57.5,DesertBeam,37.956,0.00363,1.397,3.256
2024-05-10T06:53:00,24.279512,54.763714,59.503,DesertBeam,38.544,0.00371,0.884,3.213
2024-05-10T06:54:00,24.262744,54.767468,58.259,UQ Mobile,39.117,0.00379,1.165,3.107
2024-05-10T06:55:00,24.295004,54.774778,58.085,Oasis Wireless,38.696,0.00387,1.213,3.119
2024-05-10T06:56:00,24.271983,54.744538,58.948,UQ Mobile,38.287,0.00396,1.06,3.326
2024-05-10T06:57:00,24.294352,54.771213,58.652,DesertBeam,39.411,0.00404,1.169,3.44
2024-05-10T06:58:00,24.279044,54.777225,58.582,Oasis Wireless,39.158,0.00413,1.09,3.112
2024-05-10T06:59:00,24.274758,54.743487,58.977,UQ Mobile,38.209,0.00422,1.037,3.263
2024-05-10T07:00:00,24.275874,54.756165,58.191,DesertBeam,39.656,0.00431,1.214,3.193
2024-05-10T07:01:00,24.265084,54.754946,57.679,DesertBeam,38.763,0.0044,1.347,3.206
2024-05-10T07:02:00,24.276904,54.772923,58.849,Oasis Wireless,37.878,0.0045,1.092,3.327
2024-05-10T07:03:00,24.279022,54.75773,59.692,UQ Mobile,38.967,0.0046,0.892,3.359
2024-05-10T07:04:00,24.264222,54.750677,59.835,Oasis Wireless,39.288,0.00469,0.889,3.462
2024-05-10T07:05:00,24.285658,54.74136,58.903,DesertBeam,37.841,0.0048,1.043,3.198
2024-05-10T07:06:00,24.276339,54.777286,59.045,UQ Mobile,37.975,0.0049,1.02,3.232
2024-05-10T07:07:00,24.268839,54.763512,59.217,UQ Mobile,39.262,0.005,1.057,3.495
2024-05-10T07:08:00,24.266322,54.777547,59.408,UQ Mobile,38.947,0.00511,0.984,3.407
2024-05-10T07:09:00,24.265676,54.767461,59.502,UQ Mobile,39.337,0.00522,0.934,3.314
2024-05-10T07:10:00,24.298557,54.741104,59.051,UQ Mobile,38.448,0.00533,1.079,3.418
2024-05-10T07:11:00,24.273028,54.774165,60.144,UQ Mobile,38.478,0.00544,0.839,3.522
2024-05-10T07:12:00,24.26511,54.767115,59.067,Oasis Wireless,38.924,0.00555,1.0,3.157
2024-05-10T07:13:00,24.263306,54.768182,59.192,Oasis Wireless,39.369,0.00567,0.966,3.144
2024-05-10T07:14:00,24.293028,54.757534,59.024,UQ Mobile,38.272,0.00579,1.013,3.157
2024-05-10T07:15:00,24.277426,54.75952,59.397,DesertBeam,39.735,0.00591,1.033,3.527
2024-05-10T07:16:00,24.293952,54.771747,57.746,UQ Mobile,38.141,0.00603,1.358,3.228
2024-05-10T07:17:00,24.280071,54.744616,58.988,DesertBeam,39.636,0.00616,1.122,3.473
2024-05-10T07:18:00,24.284087,54.751397,59.534,Oasis Wireless,38.418,0.00629,0.902,3.191
2024-05-10T07:19:00,24.29093,54.753795,60.073,UQ Mobile,38.123,0.00642,0.844,3.441
2024-05-10T07:20:00,24.274094,54.759076,58.57,DesertBeam,39.527,0.00655,1.143,3.18
2024-05-10T07:21:00,24.292893,54.763784,59.767,Oasis Wireless,39.789,0.00669,0.931,3.465
2024-05-10T07:22:00,24.283004,54.746684,58.911,Oasis Wireless,38.404,0.00682,1.128,3.403
2024-05-10T07:23:00,24.289837,54.745102,59.801,UQ Mobile,38.531,0.00696,0.851,3.214
2024-05-10T07:24:00,24.287273,54.75235,59.055,DesertBeam,39.19,0.00711,1.032,3.191
2024-05-10T07:25:00,24.280226,54.766771,58.481,DesertBeam,38.834,0.00725,1.231,3.37
2024-05-10T07:26:00,24.287291,54.772175,58.608,UQ Mobile,40.19,0.0074,1.167,3.257
2024-05-10T07:27:00,24.282293,54.779036,58.233,DesertBeam,39.038,0.00755,1.351,3.551
2024-05-10T07:28:00,24.266286,54.744575,59.758,UQ Mobile,39.374,0.0077,0.905,3.325
2024-05-10T07:29:00,24.271973,54.768467,60.127,DesertBeam,40.074,0.00786,0.885,3.561
2024-05-10T07:30:00,24.297774,54.772055,59.504,Oasis Wireless,39.967,0.00802,1.01,3.452
2024-05-10T07:31:00,24.281679,54.766742,59.429,DesertBeam,40.192,0.00818,1.013,3.393
2024-05-10T07:32:00,24.279756,54.776594,59.861,UQ Mobile,39.541,0.00834,0.94,3.504
2024-05-10T07:33:00,24.269516,54.74819,59.193,DesertBeam,39.254,0.00851,1.122,3.545
2024-05-10T07:34:00,24.291939,54.75256,60.167,DesertBeam,40.275,0.00868,0.889,3.573
2024-05-10T07:35:00,24.297145,54.776851,58.777,Oasis Wireless,38.409,0.00886,1.144,3.259
2024-05-10T07:36:00,24.287129,54.77194,58.031,Oasis Wireless,39.818,0.00903,1.379,3.413
2024-05-10T07:37:00,24.266353,54.765184,59.946,UQ Mobile,39.388,0.00921,0.864,3.286
2024-05-10T07:38:00,24.271185,54.744314,59.727,UQ Mobile,39.427,0.00939,0.917,3.271
2024-05-10T07:39:00,24.293037,54.768881,59.542,UQ Mobile,39.583,0.00958,1.072,3.625
2024-05-10T07:40:00,24.26343,54.763031,59.42,Oasis Wireless,39.081,0.00977,1.029,3.374
2024-05-10T07:41:00,24.281392,54.771009,61.138,DesertBeam,38.596,0.00996,0.645,3.516
2024-05-10T07:42:00,24.277738,54.76873,59.954,DesertBeam,39.275,0.01015,0.916,3.426
2024-05-10T07:43:00,24.289045,54.777997,59.563,UQ Mobile,39.796,0.01035,1.032,3.477
2024-05-10T07:44:00,24.284401,54.746188,59.051,UQ Mobile,40.055,0.01055,1.137,3.392
2024-05-10T07:45:00,24.272484,54.762086,60.299,UQ Mobile,39.415,0.01076,0.87,3.535
2024-05-10T07:46:00,24.299588,54.776357,59.249,UQ Mobile,38.993,0.01097,1.111,3.454
2024-05-10T07:47:00,24.277877,54.775153,59.311,DesertBeam,40.38,0.01118,1.048,3.286
2024-05-10T07:48:00,24.265458,54.771019,60.158,UQ Mobile,39.313,0.0114,0.941,3.628
2024-05-10T07:49:00,24.273988,54.777898,59.901,UQ Mobile,38.761,0.01162,0.94,3.399
2024-05-10T07:50:00,24.272659,54.743459,60.007,DesertBeam,39.508,0.01184,0.951,3.517
2024-05-10T07:51:00,24.273741,54.740767,59.861,Oasis Wireless,40.271,0.01207,0.942,3.356
2024-05-10T07:52:00,24.296385,54.740401,60.809,Oasis Wireless,39.007,0.0123,0.712,3.369
2024-05-10T07:53:00,24.293479,54.755741,60.034,Oasis Wireless,40.126,0.01253,0.989,3.636
2024-05-10T07:54:00,24.296581,54.773972,58.726,UQ Mobile,40.633,0.01277,1.244,3.388
2024-05-10T07:55:00,24.270535,54.746276,60.153,DesertBeam,40.393,0.01301,0.966,3.64
2024-05-10T07:56:00,24.295099,54.753655,60.206,DesertBeam,39.26,0.01326,0.93,3.553
2024-05-10T07:57:00,24.289985,54.760558,59.042,UQ Mobile,40.58,0.01351,1.23,3.571
2024-05-10T07:58:00,24.271941,54.743176,58.826,UQ Mobile,38.894,0.01376,1.252,3.454
2024-05-10T07:59:00,24.270529,54.74796,59.297,UQ Mobile,38.878,0.01402,1.145,3.479
2024-05-10T08:00:00,24.294568,54.764967,58.988,UQ Mobile,39.381,0.01428,1.255,3.576
2024-05-10T08:01:00,24.276628,54.764876,59.876,Oasis Wireless,40.764,0.01455,1.034,3.571
2024-05-10T08:02:00,24.273761,54.75118,59.353,Oasis Wireless,39.733,0.01482,1.123,3.42
2024-05-10T08:03:00,24.285258,54.742252,60.041,UQ Mobile,39.694,0.0151,1.034,3.685
2024-05-10T08:04:00,24.282725,54.766889,59.343,DesertBeam,40.734,0.01537,1.118,3.373
2024-05-10T08:05:00,24.265023,54.774336,59.817,DesertBeam,40.424,0.01566,1.116,3.749
2024-05-10T08:06:00,24.298681,54.745423,59.229,DesertBeam,40.212,0.01595,1.176,3.446
2024-05-10T08:07:00,24.268004,54.763314,60.147,UQ Mobile,39.959,0.01624,1.005,3.628
2024-05-10T08:08:00,24.268958,54.75648,59.291,UQ Mobile,40.992,0.01654,1.248,3.712
2024-05-10T08:09:00,24.26405,54.761844,59.475,UQ Mobile,40.094,0.01684,1.102,3.367
2024-05-10T08:10:00,24.269738,54.742406,59.504,UQ Mobile,40.421,0.01715,1.125,3.455
2024-05-10T08:11:00,24.280227,54.778621,60.17,Oasis Wireless,39.682,0.01746,1.02,3.649
2024-05-10T08:12:00,24.295384,54.760144,59.61,DesertBeam,40.466,0.01778,1.2,3.769
2024-05-10T08:13:00,24.295448,54.764847,60.097,Oasis Wireless,39.253,0.0181,1.014,3.539
2024-05-10T08:14:00,24.28652,54.760158,59.667,UQ Mobile,40.23,0.01842,1.103,3.466
2024-05-10T08:15:00,24.28416,54.745854,59.658,Oasis Wireless,40.422,0.01875,1.138,3.562
2024-05-10T08:16:00,24.27015,54.743662,60.278,UQ Mobile,40.884,0.01909,0.989,3.568
2024-05-10T08:17:00,24.26253,54.767503,60.92,Oasis Wireless,41.113,0.01943,0.857,3.646
2024-05-10T08:18:00,24.290648,54.741802,59.947,UQ Mobile,40.529,0.01978,1.12,3.699
2024-05-10T08:19:00,24.289622,54.74214,59.13,DesertBeam,40.051,0.02013,1.332,3.709
2024-05-10T08:20:00,24.285273,54.778137,59.764,Oasis Wireless,40.727,0.02049,1.163,3.662
2024-05-10T08:21:00,24.269282,54.758076,60.898,UQ Mobile,39.533,0.02085,0.912,3.753
2024-05-10T08:22:00,24.265993,54.765456,60.251,Oasis Wireless,40.506,0.02122,1.045,3.643
2024-05-10T08:23:00,24.285269,54.77734,60.409,UQ Mobile,40.196,0.02159,0.947,3.431
2024-05-10T08:24:00,24.2914,54.755601,60.56,DesertBeam,40.379,0.02197,0.972,3.624
2024-05-10T08:25:00,24.264603,54.740077,59.899,UQ Mobile,40.803,0.02235,1.097,3.475
2024-05-10T08:26:00,24.289079,54.763461,60.153,Oasis Wireless,39.843,0.02274,1.103,3.691
2024-05-10T08:27:00,24.277578,54.764961,61.041,DesertBeam,40.579,0.02314,0.901,3.739
2024-05-10T08:28:00,24.275335,54.741861,61.716,DesertBeam,39.41,0.02354,0.716,3.669
2024-05-10T08:29:00,24.275058,54.744111,60.451,Oasis Wireless,40.815,0.02395,1.006,3.565
2024-05-10T08:30:00,24.297337,54.763956,61.093,DesertBeam,40.731,0.02436,0.915,3.779
2024-05-10T08:31:00,24.26511,54.76316,59.671,UQ Mobile,40.539,0.02478,1.204,3.539
2024-05-10T08:32:00,24.277335,54.748676,60.035,UQ Mobile,40.209,0.0252,1.103,3.489
2024-05-10T08:33:00,24.272741,54.745891,59.861,UQ Mobile,41.33,0.02563,1.163,3.528
2024-05-10T08:34:00,24.267303,54.742216,61.765,UQ Mobile,40.533,0.02607,0.765,3.769
2024-05-10T08:35:00,24.283775,54.748429,60.91,DesertBeam,41.07,0.02651,1.01,3.854
2024-05-10T08:36:00,24.287309,54.742639,60.139,DesertBeam,41.238,0.02696,1.169,3.721
2024-05-10T08:37:00,24.283915,54.749603,60.865,UQ Mobile,40.36,0.02742,0.955,3.596
2024-05-10T08:38:00,24.26656,54.740194,60.261,DesertBeam,40.438,0.02788,1.12,3.622
2024-05-10T08:39:00,24.287246,54.748055,60.45,DesertBeam,40.439,0.02835,1.069,3.59
2024-05-10T08:40:00,24.293014,54.755263,61.115,Oasis Wireless,39.628,0.02882,0.888,3.521
2024-05-10T08:41:00,24.281401,54.752255,60.488,DesertBeam,40.053,0.02931,1.058,3.547
2024-05-10T08:42:00,24.26608,54.74051,60.479,Oasis Wireless,40.331,0.02979,1.152,3.831
2024-05-10T08:43:00,24.275693,54.767096,60.008,DesertBeam,41.532,0.03029,1.227,3.669
2024-05-10T08:44:00,24.284622,54.741999,61.095,Oasis Wireless,40.355,0.03079,0.997,3.787
2024-05-10T08:45:00,24.283948,54.756087,60.899,DesertBeam,39.65,0.0313,0.968,3.504
2024-05-10T08:46:00,24.268049,54.76241,61.042,UQ Mobile,40.837,0.03181,1.017,3.767
2024-05-10T08:47:00,24.293792,54.754471,61.177,Oasis Wireless,40.407,0.03234,0.915,3.518
2024-05-10T08:48:00,24.268325,54.740275,60.546,UQ Mobile,39.876,0.03286,1.177,3.843
2024-05-10T08:49:00,24.285178,54.759099,60.52,UQ Mobile,40.205,0.0334,1.167,3.764
2024-05-10T08:50:00,24.278283,54.772787,60.097,DesertBeam,40.847,0.03394,1.315,3.883
2024-05-10T08:51:00,24.262863,54.773818,61.184,UQ Mobile,41.625,0.03449,1.011,3.754
2024-05-10T08:52:00,24.268828,54.745465,60.638,UQ Mobile,41.591,0.03505,1.085,3.521
2024-05-10T08:53:00,24.296264,54.755986,61.381,Oasis Wireless,40.144,0.03562,0.925,3.585
2024-05-10T08:54:00,24.264711,54.772672,62.481,DesertBeam,41.0,0.03619,0.733,3.836
2024-05-10T08:55:00,24.287858,54.743362,61.412,UQ Mobile,40.389,0.03677,0.954,3.657
2024-05-10T08:56:00,24.276954,54.764174,60.283,DesertBeam,40.909,0.03736,1.304,3.858
2024-05-10T08:57:00,24.274543,54.755267,61.12,Oasis Wireless,41.565,0.03795,1.017,3.576
2024-05-10T08:58:00,24.299444,54.756262,61.403,DesertBeam,40.165,0.03855,1.045,3.879
2024-05-10T08:59:00,24.28045,54.757024,61.408,DesertBeam,40.902,0.03916,1.031,3.812
2024-05-10T09:00:00,24.26681,54.740138,61.828,DesertBeam,40.442,0.03978,0.926,3.788
2024-05-10T09:01:00,24.266998,54.77651,60.806,UQ Mobile,39.926,0.04041,1.182,3.762
2024-05-10T09:02:00,24.274324,54.769438,62.347,DesertBeam,41.046,0.04104,0.846,3.898
2024-05-10T09:03:00,24.267374,54.762142,60.945,Oasis Wireless,41.465,0.04168,1.136,3.671
2024-05-10T09:04:00,24.274001,54.775129,61.307,DesertBeam,39.999,0.04233,1.042,3.633
2024-05-10T09:05:00,24.271592,54.750441,60.332,DesertBeam,41.261,0.04299,1.352,3.827
2024-05-10T09:06:00,24.277173,54.770354,62.355,UQ Mobile,41.672,0.04365,0.886,3.93
2024-05-10T09:07:00,24.283014,54.769391,62.738,UQ Mobile,40.673,0.04433,0.711,3.639
2024-05-10T09:08:00,24.261487,54.741549,61.311,UQ Mobile,40.027,0.04501,1.066,3.603
2024-05-10T09:09:00,24.295498,54.758083,61.471,UQ Mobile,41.655,0.0457,1.082,3.762
2024-05-10T09:10:00,24.262395,54.740928,62.741,Oasis Wireless,40.929,0.0464,0.764,3.73
2024-05-10T09:11:00,24.281189,54.764302,62.34,DesertBeam,40.64,0.0471,0.881,3.759
2024-05-10T09:12:00,24.279291,54.7769,62.111,DesertBeam,40.428,0.04782,0.909,3.629
2024-05-10T09:13:00,24.287124,54.753532,62.154,Oasis Wireless,41.69,0.04854,0.995,3.921
2024-05-10T09:14:00,24.277882,54.745063,61.71,DesertBeam,40.836,0.04927,1.095,3.854
2024-05-10T09:15:00,24.282341,54.741627,62.256,DesertBeam,41.839,0.05001,0.999,3.959
2024-05-10T09:16:00,24.298235,54.747634,61.117,UQ Mobile,40.308,0.05076,1.194,3.627
2024-05-10T09:17:00,24.260537,54.75232,61.127,Oasis Wireless,41.669,0.05152,1.263,3.835
2024-05-10T09:18:00,24.295924,54.751143,61.907,Oasis Wireless,40.756,0.05229,1.012,3.616
2024-05-10T09:19:00,24.270566,54.758606,60.825,DesertBeam,40.731,0.05307,1.349,3.807
2024-05-10T09:20:00,24.278517,54.758691,61.268,Oasis Wireless,40.749,0.05385,1.22,3.715
2024-05-10T09:21:00,24.275753,54.77356,62.558,DesertBeam,41.552,0.05464,0.945,3.839
2024-05-10T09:22:00,24.28859,54.775847,62.827,DesertBeam,41.031,0.05545,0.92,3.945
2024-05-10T09:23:00,24.285181,54.75179,62.258,DesertBeam,40.765,0.05626,0.973,3.613
2024-05-10T09:24:00,24.295544,54.763281,61.261,DesertBeam,40.083,0.05708,1.313,3.881
2024-05-10T09:25:00,24.274065,54.741346,62.334,UQ Mobile,41.789,0.05791,1.088,3.993
2024-05-10T09:26:00,24.287454,54.772956,61.655,DesertBeam,41.625,0.05875,1.186,3.719
