time,lattitude,longtitude,connection_strength_data,provider,event_phase,roaming_users_ratio,temporary_cell_id,crowd_noise_index
2024-10-05T08:54:45,34.691145,135.510775,41.266,UQ Mobile,doors_open,0.5094,TMP-11,52.509
2024-10-05T08:55:30,34.689656,135.506403,12.127,WavePop,headliner,0.9813,TMP-13,65.83
2024-10-05T08:56:15,34.69355,135.506172,30.142,FestivalNet,afterparty,0.7251,TMP-09,59.26
2024-10-05T08:57:00,34.685115,135.505946,53.14,FestivalNet,setup,0.1802,TMP-09,45.544
2024-10-05T08:57:45,34.692342,135.51415,44.086,UQ Mobile,doors_open,0.4814,TMP-10,51.92
2024-10-05T08:58:30,34.686957,135.508075,9.633,FestivalNet,headliner,1.0185,TMP-09,63.729
2024-10-05T08:59:15,34.685571,135.507545,32.886,FestivalNet,afterparty,0.6831,TMP-01,54.964
2024-10-05T09:00:00,34.689266,135.505027,52.246,WavePop,setup,0.1892,TMP-19,45.773
2024-10-05T09:00:45,34.692814,135.508489,43.979,UQ Mobile,doors_open,0.4861,TMP-15,52.767
2024-10-05T09:01:30,34.690412,135.505046,10.397,FestivalNet,headliner,0.9995,TMP-01,66.022
2024-10-05T09:02:15,34.694686,135.512503,32.154,WavePop,afterparty,0.683,TMP-09,58.75
2024-10-05T09:03:00,34.691495,135.505906,52.518,FestivalNet,setup,0.1945,TMP-11,42.584
2024-10-05T09:03:45,34.690895,135.512598,42.71,FestivalNet,doors_open,0.4823,TMP-19,53.327
2024-10-05T09:04:30,34.692394,135.51493,11.675,FestivalNet,headliner,0.9793,TMP-10,64.545
2024-10-05T09:05:15,34.690072,135.511786,30.591,WavePop,afterparty,0.7232,TMP-14,57.31
2024-10-05T09:06:00,34.690968,135.507005,53.451,FestivalNet,setup,0.1907,TMP-13,43.439
2024-10-05T09:06:45,34.68549,135.507181,43.333,WavePop,doors_open,0.4966,TMP-04,50.507
2024-10-05T09:07:30,34.69052,135.509476,8.858,UQ Mobile,headliner,1.0031,TMP-10,64.842
2024-10-05T09:08:15,34.694923,135.51203,31.618,FestivalNet,afterparty,0.708,TMP-17,57.259
2024-10-05T09:09:00,34.689363,135.507173,51.095,WavePop,setup,0.214,TMP-08,46.291
2024-10-05T09:09:45,34.687905,135.514198,43.494,WavePop,doors_open,0.5013,TMP-12,51.762
2024-10-05T09:10:30,34.686753,135.50866,11.608,WavePop,headliner,0.9847,TMP-17,67.545
2024-10-05T09:11:15,34.687873,135.506252,33.237,UQ Mobile,afterparty,0.6702,TMP-02,58.811
2024-10-05T09:12:00,34.693065,135.512345,52.178,FestivalNet,setup,0.2041,TMP-09,42.687
2024-10-05T09:12:45,34.693124,135.514762,43.405,UQ Mobile,doors_open,0.488,TMP-05,54.03
2024-10-05T09:13:30,34.689923,135.506785,10.208,WavePop,headliner,1.0041,TMP-11,67.228
2024-10-05T09:14:15,34.690168,135.507594,31.003,WavePop,afterparty,0.7185,TMP-15,58.737
2024-10-05T09:15:00,34.690411,135.512718,52.463,FestivalNet,setup,0.2253,TMP-18,42.509
2024-10-05T09:15:45,34.686081,135.510673,42.689,FestivalNet,doors_open,0.4867,TMP-18,52.642
2024-10-05T09:16:30,34.689961,135.509866,10.506,UQ Mobile,headliner,1.0006,TMP-09,64.82
2024-10-05T09:17:15,34.691137,135.506259,29.188,UQ Mobile,afterparty,0.7239,TMP-02,60.367
2024-10-05T09:18:00,34.685866,135.507908,52.714,FestivalNet,setup,0.1945,TMP-08,46.182
2024-10-05T09:18:45,34.687153,135.507648,44.754,WavePop,doors_open,0.481,TMP-15,49.604
2024-10-05T09:19:30,34.694312,135.507144,9.773,FestivalNet,headliner,1.0142,TMP-07,65.136
2024-10-05T09:20:15,34.693756,135.509222,30.857,UQ Mobile,afterparty,0.702,TMP-17,60.375
2024-10-05T09:21:00,34.685927,135.508607,53.163,FestivalNet,setup,0.1795,TMP-15,43.858
2024-10-05T09:21:45,34.687722,135.513018,42.893,WavePop,doors_open,0.5008,TMP-12,52.542
2024-10-05T09:22:30,34.693154,135.510215,11.633,WavePop,headliner,0.9882,TMP-16,62.529
2024-10-05T09:23:15,34.690111,135.506159,32.989,UQ Mobile,afterparty,0.6912,TMP-02,58.667
2024-10-05T09:24:00,34.691547,135.512742,51.543,FestivalNet,setup,0.216,TMP-13,44.24
2024-10-05T09:24:45,34.689638,135.506931,41.734,UQ Mobile,doors_open,0.4914,TMP-16,54.115
2024-10-05T09:25:30,34.692913,135.511451,11.365,FestivalNet,headliner,0.9705,TMP-15,67.537
2024-10-05T09:26:15,34.693854,135.509746,32.147,UQ Mobile,afterparty,0.6947,TMP-11,59.067
2024-10-05T09:27:00,34.691964,135.512396,52.821,FestivalNet,setup,0.2019,TMP-15,46.133
2024-10-05T09:27:45,34.692867,135.510935,41.838,FestivalNet,doors_open,0.5165,TMP-15,55.164
2024-10-05T09:28:30,34.692651,135.512176,8.846,FestivalNet,headliner,1.0123,TMP-11,62.316
2024-10-05T09:29:15,34.686432,135.507768,31.207,UQ Mobile,afterparty,0.7094,TMP-12,56.533
2024-10-05T09:30:00,34.694225,135.505644,52.991,FestivalNet,setup,0.212,TMP-01,44.684
2024-10-05T09:30:45,34.689504,135.514697,41.121,WavePop,doors_open,0.5162,TMP-09,53.819
2024-10-05T09:31:30,34.689183,135.508848,10.394,UQ Mobile,headliner,0.9867,TMP-08,67.6
2024-10-05T09:32:15,34.6889,135.510399,30.347,UQ Mobile,afterparty,0.7166,TMP-07,55.73
2024-10-05T09:33:00,34.693432,135.511674,53.608,WavePop,setup,0.1873,TMP-05,44.514
2024-10-05T09:33:45,34.687661,135.508128,43.143,UQ Mobile,doors_open,0.4954,TMP-04,53.24
2024-10-05T09:34:30,34.693994,135.513145,9.205,WavePop,headliner,1.0226,TMP-13,64.719
2024-10-05T09:35:15,34.69016,135.507218,33.07,FestivalNet,afterparty,0.6831,TMP-15,54.756
2024-10-05T09:36:00,34.690183,135.514275,51.628,WavePop,setup,0.1889,TMP-13,45.818
2024-10-05T09:36:45,34.690034,135.512915,42.108,FestivalNet,doors_open,0.5051,TMP-02,53.391
2024-10-05T09:37:30,34.690239,135.509867,8.67,WavePop,headliner,1.0108,TMP-01,64.317
2024-10-05T09:38:15,34.689546,135.508633,30.655,WavePop,afterparty,0.7206,TMP-06,56.812
2024-10-05T09:39:00,34.689948,135.511095,52.662,WavePop,setup,0.2283,TMP-15,43.628
2024-10-05T09:39:45,34.685082,135.506237,43.362,UQ Mobile,doors_open,0.4943,TMP-06,51.9
2024-10-05T09:40:30,34.693271,135.513278,11.788,UQ Mobile,headliner,0.9833,TMP-02,62.545
2024-10-05T09:41:15,34.690642,135.5145,29.672,FestivalNet,afterparty,0.7275,TMP-15,58.563
2024-10-05T09:42:00,34.688683,135.508745,52.625,FestivalNet,setup,0.1871,TMP-10,45.311
2024-10-05T09:42:45,34.693214,135.508444,43.202,WavePop,doors_open,0.4946,TMP-02,50.988
2024-10-05T09:43:30,34.691641,135.512586,10.729,FestivalNet,headliner,0.9862,TMP-18,67.758
2024-10-05T09:44:15,34.690592,135.508323,31.09,UQ Mobile,afterparty,0.7196,TMP-02,55.49
2024-10-05T09:45:00,34.686034,135.513618,50.848,WavePop,setup,0.2154,TMP-16,47.145
2024-10-05T09:45:45,34.6926,135.505329,43.141,UQ Mobile,doors_open,0.5019,TMP-12,53.63
2024-10-05T09:46:30,34.68606,135.508672,13.271,UQ Mobile,headliner,0.9757,TMP-14,62.206
2024-10-05T09:47:15,34.692111,135.513339,30.886,UQ Mobile,afterparty,0.7266,TMP-19,59.677
2024-10-05T09:48:00,34.693859,135.514945,53.331,FestivalNet,setup,0.1846,TMP-16,45.189
2024-10-05T09:48:45,34.694906,135.507122,43.081,WavePop,doors_open,0.504,TMP-01,51.707
2024-10-05T09:49:30,34.692483,135.511348,10.604,WavePop,headliner,0.9987,TMP-12,66.842
2024-10-05T09:50:15,34.68753,135.514248,32.76,FestivalNet,afterparty,0.6771,TMP-10,58.19
2024-10-05T09:51:00,34.688819,135.505121,52.863,WavePop,setup,0.1888,TMP-13,45.55
2024-10-05T09:51:45,34.687902,135.508321,41.399,FestivalNet,doors_open,0.5048,TMP-02,55.498
2024-10-05T09:52:30,34.68845,135.514342,9.382,FestivalNet,headliner,1.0105,TMP-01,67.695
2024-10-05T09:53:15,34.689947,135.511701,30.94,FestivalNet,afterparty,0.7222,TMP-07,57.449
2024-10-05T09:54:00,34.693881,135.51355,52.444,WavePop,setup,0.1966,TMP-11,45.672
2024-10-05T09:54:45,34.688049,135.513117,41.224,WavePop,doors_open,0.506,TMP-05,53.109
2024-10-05T09:55:30,34.687839,135.511257,12.934,UQ Mobile,headliner,0.97,TMP-16,63.146
2024-10-05T09:56:15,34.687112,135.505345,30.191,UQ Mobile,afterparty,0.7081,TMP-05,59.366
2024-10-05T09:57:00,34.693015,135.511197,51.842,UQ Mobile,setup,0.2095,TMP-12,42.308
2024-10-05T09:57:45,34.687695,135.509034,41.212,UQ Mobile,doors_open,0.5203,TMP-03,53.468
2024-10-05T09:58:30,34.686577,135.50575,9.303,UQ Mobile,headliner,1.0146,TMP-04,62.457
2024-10-05T09:59:15,34.694266,135.509284,30.235,FestivalNet,afterparty,0.7285,TMP-19,56.958
2024-10-05T10:00:00,34.693618,135.512252,53.815,WavePop,setup,0.1723,TMP-09,42.643
2024-10-05T10:00:45,34.694668,135.506673,41.526,WavePop,doors_open,0.5143,TMP-14,51.951
2024-10-05T10:01:30,34.69357,135.514881,11.069,WavePop,headliner,0.9709,TMP-20,66.175
2024-10-05T10:02:15,34.685973,135.511629,32.141,FestivalNet,afterparty,0.7038,TMP-06,59.256
2024-10-05T10:03:00,34.694761,135.505272,52.325,UQ Mobile,setup,0.2053,TMP-05,46.905
2024-10-05T10:03:45,34.689909,135.505711,42.138,FestivalNet,doors_open,0.504,TMP-16,49.713
2024-10-05T10:04:30,34.686611,135.507684,10.592,FestivalNet,headliner,0.9934,TMP-13,63.913
2024-10-05T10:05:15,34.689074,135.513784,32.186,FestivalNet,afterparty,0.7086,TMP-19,57.484
2024-10-05T10:06:00,34.694539,135.511067,52.291,FestivalNet,setup,0.1958,TMP-05,44.737
2024-10-05T10:06:45,34.692917,135.510339,44.321,FestivalNet,doors_open,0.4766,TMP-11,50.845
2024-10-05T10:07:30,34.691592,135.51444,11.093,WavePop,headliner,0.9777,TMP-09,67.59
2024-10-05T10:08:15,34.685021,135.509907,33.825,UQ Mobile,afterparty,0.674,TMP-16,54.65
2024-10-05T10:09:00,34.689852,135.508788,53.363,WavePop,setup,0.2159,TMP-12,42.087
2024-10-05T10:09:45,34.686092,135.514111,42.3,WavePop,doors_open,0.5148,TMP-15,51.33
2024-10-05T10:10:30,34.690705,135.507879,11.281,FestivalNet,headliner,0.9881,TMP-14,66.022
2024-10-05T10:11:15,34.693788,135.505048,32.4,WavePop,afterparty,0.6913,TMP-10,56.462
2024-10-05T10:12:00,34.689621,135.507643,52.35,UQ Mobile,setup,0.2088,TMP-03,44.225
2024-10-05T10:12:45,34.691868,135.510427,43.137,UQ Mobile,doors_open,0.492,TMP-19,52.716
2024-10-05T10:13:30,34.685369,135.513731,9.956,UQ Mobile,headliner,0.9965,TMP-18,67.667
2024-10-05T10:14:15,34.68734,135.509954,31.526,UQ Mobile,afterparty,0.7258,TMP-04,54.522
2024-10-05T10:15:00,34.686464,135.511994,51.742,WavePop,setup,0.2219,TMP-04,45.016
2024-10-05T10:15:45,34.69243,135.51152,43.011,WavePop,doors_open,0.5197,TMP-04,50.368
2024-10-05T10:16:30,34.690609,135.506797,8.088,UQ Mobile,headliner,1.0207,TMP-11,67.773
2024-10-05T10:17:15,34.685313,135.510547,31.922,FestivalNet,afterparty,0.6924,TMP-17,54.613
2024-10-05T10:18:00,34.687442,135.513159,53.42,UQ Mobile,setup,0.2009,TMP-19,44.532
2024-10-05T10:18:45,34.691489,135.506938,41.935,FestivalNet,doors_open,0.4974,TMP-15,55.42
2024-10-05T10:19:30,34.690696,135.511857,10.69,WavePop,headliner,0.9804,TMP-05,67.438
2024-10-05T10:20:15,34.689507,135.511374,32.374,UQ Mobile,afterparty,0.7076,TMP-06,56.96
2024-10-05T10:21:00,34.686265,135.50736,51.368,UQ Mobile,setup,0.2275,TMP-13,43.697
2024-10-05T10:21:45,34.691537,135.506685,41.782,UQ Mobile,doors_open,0.51,TMP-12,49.634
2024-10-05T10:22:30,34.693085,135.506187,12.524,FestivalNet,headliner,0.9754,TMP-04,63.659
2024-10-05T10:23:15,34.686359,135.51115,32.07,UQ Mobile,afterparty,0.6862,TMP-04,60.029
2024-10-05T10:24:00,34.686437,135.505594,52.543,UQ Mobile,setup,0.2035,TMP-15,42.208
2024-10-05T10:24:45,34.685199,135.511791,42.968,UQ Mobile,doors_open,0.4986,TMP-04,49.983
2024-10-05T10:25:30,34.694411,135.505763,12.62,FestivalNet,headliner,0.9713,TMP-16,63.636
2024-10-05T10:26:15,34.689674,135.505141,30.979,UQ Mobile,afterparty,0.7282,TMP-05,54.893
2024-10-05T10:27:00,34.691643,135.505167,52.469,WavePop,setup,0.2083,TMP-12,47.91
2024-10-05T10:27:45,34.693565,135.514278,44.351,FestivalNet,doors_open,0.4735,TMP-11,50.107
2024-10-05T10:28:30,34.687129,135.51304,12.941,FestivalNet,headliner,0.9746,TMP-03,62.156
2024-10-05T10:29:15,34.693056,135.508091,32.232,FestivalNet,afterparty,0.6984,TMP-06,58.182
2024-10-05T10:30:00,34.69086,135.511555,53.055,WavePop,setup,0.1765,TMP-01,46.81
2024-10-05T10:30:45,34.692571,135.513455,41.533,UQ Mobile,doors_open,0.5113,TMP-04,52.69
2024-10-05T10:31:30,34.686677,135.505553,7.545,FestivalNet,headliner,1.0227,TMP-01,63.421
2024-10-05T10:32:15,34.694376,135.514283,33.968,UQ Mobile,afterparty,0.6734,TMP-06,56.018
2024-10-05T10:33:00,34.687605,135.507619,51.882,UQ Mobile,setup,0.2153,TMP-18,43.207
2024-10-05T10:33:45,34.694283,135.507855,41.739,WavePop,doors_open,0.5166,TMP-16,52.129
2024-10-05T10:34:30,34.689152,135.50619,12.269,WavePop,headliner,0.981,TMP-04,62.078
2024-10-05T10:35:15,34.693635,135.510746,32.573,UQ Mobile,afterparty,0.6743,TMP-10,56.753
2024-10-05T10:36:00,34.688134,135.513034,52.694,FestivalNet,setup,0.1938,TMP-18,44.894
2024-10-05T10:36:45,34.692636,135.513649,42.186,WavePop,doors_open,0.4944,TMP-04,54.447
2024-10-05T10:37:30,34.686647,135.514242,9.783,UQ Mobile,headliner,1.0069,TMP-11,64.679
2024-10-05T10:38:15,34.694862,135.514471,31.101,WavePop,afterparty,0.716,TMP-14,55.162
2024-10-05T10:39:00,34.688608,135.505656,53.83,WavePop,setup,0.1908,TMP-14,42.668
2024-10-05T10:39:45,34.689941,135.51172,43.439,WavePop,doors_open,0.4775,TMP-06,54.102
2024-10-05T10:40:30,34.69349,135.507529,9.744,FestivalNet,headliner,0.9943,TMP-01,65.572
2024-10-05T10:41:15,34.69231,135.511945,32.125,WavePop,afterparty,0.7181,TMP-10,55.064
2024-10-05T10:42:00,34.691895,135.513421,51.467,UQ Mobile,setup,0.2128,TMP-20,43.882
2024-10-05T10:42:45,34.692561,135.506038,42.045,UQ Mobile,doors_open,0.4934,TMP-04,52.599
2024-10-05T10:43:30,34.685034,135.510434,7.091,WavePop,headliner,1.0298,TMP-10,66.762
2024-10-05T10:44:15,34.694613,135.509552,32.265,UQ Mobile,afterparty,0.6952,TMP-01,55.004
2024-10-05T10:45:00,34.689507,135.507881,51.658,UQ Mobile,setup,0.1735,TMP-12,47.474
2024-10-05T10:45:45,34.692239,135.511338,40.405,UQ Mobile,doors_open,0.5203,TMP-09,54.18
2024-10-05T10:46:30,34.692344,135.506943,11.557,FestivalNet,headliner,0.9761,TMP-20,66.57
2024-10-05T10:47:15,34.68939,135.506613,29.726,WavePop,afterparty,0.7126,TMP-20,59.943
2024-10-05T10:48:00,34.686567,135.509942,52.51,UQ Mobile,setup,0.202,TMP-13,46.045
2024-10-05T10:48:45,34.691906,135.510653,43.461,UQ Mobile,doors_open,0.47,TMP-15,55.144
2024-10-05T10:49:30,34.691734,135.511,7.644,UQ Mobile,headliner,1.0295,TMP-18,66.607
2024-10-05T10:50:15,34.690249,135.512408,32.093,UQ Mobile,afterparty,0.7145,TMP-20,56.606
2024-10-05T10:51:00,34.686221,135.51133,52.903,WavePop,setup,0.1989,TMP-14,47.106
2024-10-05T10:51:45,34.694333,135.512493,41.861,FestivalNet,doors_open,0.4973,TMP-17,55.442
2024-10-05T10:52:30,34.692218,135.512838,9.115,WavePop,headliner,1.0295,TMP-15,62.06
2024-10-05T10:53:15,34.694102,135.509927,30.29,FestivalNet,afterparty,0.7174,TMP-15,58.85
2024-10-05T10:54:00,34.693669,135.50709,53.486,FestivalNet,setup,0.1817,TMP-16,43.065
2024-10-05T10:54:45,34.691088,135.50751,42.277,UQ Mobile,doors_open,0.4749,TMP-06,54.364
2024-10-05T10:55:30,34.690491,135.505259,9.909,UQ Mobile,headliner,1.0007,TMP-11,63.004
2024-10-05T10:56:15,34.692681,135.505431,32.082,WavePop,afterparty,0.6872,TMP-09,58.355
2024-10-05T10:57:00,34.694526,135.507233,52.309,FestivalNet,setup,0.1964,TMP-04,43.369
2024-10-05T10:57:45,34.685922,135.510915,43.094,FestivalNet,doors_open,0.495,TMP-19,51.42
2024-10-05T10:58:30,34.689215,135.512205,12.434,UQ Mobile,headliner,0.9828,TMP-06,63.666
2024-10-05T10:59:15,34.687739,135.514568,32.423,UQ Mobile,afterparty,0.6815,TMP-11,56.269
2024-10-05T11:00:00,34.693802,135.51043,53.86,WavePop,setup,0.1862,TMP-16,43.059
2024-10-05T11:00:45,34.693522,135.508932,43.508,UQ Mobile,doors_open,0.489,TMP-09,50.612
2024-10-05T11:01:30,34.69094,135.512214,9.821,WavePop,headliner,0.9921,TMP-08,64.85
2024-10-05T11:02:15,34.69037,135.512127,31.857,FestivalNet,afterparty,0.7019,TMP-15,60.123
2024-10-05T11:03:00,34.685335,135.511518,52.443,WavePop,setup,0.1763,TMP-09,46.628
2024-10-05T11:03:45,34.693449,135.506362,42.723,FestivalNet,doors_open,0.4836,TMP-04,52.243
2024-10-05T11:04:30,34.687058,135.506448,7.529,FestivalNet,headliner,1.0264,TMP-12,62.657
2024-10-05T11:05:15,34.691757,135.508238,30.108,WavePop,afterparty,0.7284,TMP-14,54.588
2024-10-05T11:06:00,34.686187,135.508091,53.071,WavePop,setup,0.2268,TMP-05,44.243
2024-10-05T11:06:45,34.687551,135.509556,43.833,UQ Mobile,doors_open,0.4761,TMP-15,52.776
2024-10-05T11:07:30,34.687832,135.508855,7.285,UQ Mobile,headliner,1.0257,TMP-05,65.255
2024-10-05T11:08:15,34.685504,135.506661,31.598,WavePop,afterparty,0.6847,TMP-12,60.107
2024-10-05T11:09:00,34.690596,135.511225,52.641,UQ Mobile,setup,0.1729,TMP-09,47.603
2024-10-05T11:09:45,34.688032,135.510382,40.335,WavePop,doors_open,0.5198,TMP-03,55.292
2024-10-05T11:10:30,34.69135,135.510294,10.354,FestivalNet,headliner,0.9898,TMP-17,65.876
2024-10-05T11:11:15,34.686727,135.510953,32.499,UQ Mobile,afterparty,0.6874,TMP-14,57.633
2024-10-05T11:12:00,34.687961,135.508727,52.073,WavePop,setup,0.183,TMP-14,47.888
2024-10-05T11:12:45,34.690618,135.510247,43.081,FestivalNet,doors_open,0.4995,TMP-06,51.766
2024-10-05T11:13:30,34.689666,135.513142,12.444,UQ Mobile,headliner,0.9744,TMP-10,64.32
2024-10-05T11:14:15,34.694704,135.506807,30.041,WavePop,afterparty,0.7168,TMP-19,58.065
2024-10-05T11:15:00,34.686667,135.508956,52.486,FestivalNet,setup,0.2146,TMP-12,47.883
2024-10-05T11:15:45,34.692452,135.509116,41.068,WavePop,doors_open,0.5221,TMP-16,51.189
2024-10-05T11:16:30,34.694218,135.507618,11.592,WavePop,headliner,0.9729,TMP-19,67.931
